person_id,positive_product_id,negative_product_id,negative_type,negative_distance,label_positive,label_negative
Alex,the-cotton-bamboo-tank#DarkNavy,fundamental-rib-long-sleeve-tee#White,semi-hard,0.49513273417727444,1,0
Alex,the-cotton-bamboo-tank#DarkNavy,geneva-v-neck-top#ClaySpot,random,0.5739631138338035,1,0
Alex,the-cotton-bamboo-tank#DuckEgg,manhattan-stretch-tee#NavyWhtStr,hard,0.341821937906708,1,0
Alex,the-cotton-bamboo-tank#DuckEgg,the-zip-front-top#Rose,semi-hard,0.5898158820213418,1,0
Alex,the-cotton-bamboo-tank#DuckEgg,moonlight-kisses-bamboo-tee#Saffron,random,0.6336599972106438,1,0
Alex,the-cotton-bamboo-tank#Moonbeam,falling-for-you-cardi#GreyMarle,hard,0.3333333333333333,1,0
Alex,the-cotton-bamboo-tank#Moonbeam,the-stripe-jersey-top#Pink,semi-hard,0.5377566704793716,1,0
Alex,the-cotton-bamboo-tank#Moonbeam,bird-jumper#Navy,random,0.49650690877343173,1,0
Alex,the-cotton-bamboo-tank#White,bamboo-layer-tank#Black,hard,0.272773712159488,1,0
Alex,the-cotton-bamboo-tank#White,alberta-stripe-top#IvoryStrip,semi-hard,0.5136914556813982,1,0
Alex,the-cotton-bamboo-tank#White,reversible-stripe-vee-scoop-neck-tank#BlackWhite,random,0.416515064862766,1,0
Alex,the-cotton-bamboo-tee#BlueJeans,overlay-tunic-3-pce-set#Emerald,hard,0.2912748702978588,1,0
Alex,the-cotton-bamboo-tee#BlueJeans,wellington-tee#Black,semi-hard,0.5907192065597238,1,0
Alex,the-cotton-bamboo-tee#BlueJeans,cool-breeze-jumper#Dust,random,0.5815240527884207,1,0
Alex,the-cotton-bamboo-tee#DuckEgg,paige-top#Black,hard,0.2543657762168298,1,0
Alex,the-cotton-bamboo-tee#DuckEgg,daisy-top-1#BrightBlue,semi-hard,0.5355893640735595,1,0
Alex,the-cotton-bamboo-tee#DuckEgg,picnic-top#BlackWhite,random,0.4662105601401579,1,0
Alex,the-cotton-bamboo-tee#DustyPink,34-sleeve-shirt-1#SkyWhite,hard,0.3432522139418691,1,0
Alex,the-cotton-bamboo-tee#DustyPink,the-zip-front-top#Blue,semi-hard,0.5898158820213418,1,0
Alex,the-cotton-bamboo-tee#DustyPink,ally-long-sleeve-tee#CosmosPr,random,0.27383017352485745,1,0
Alex,the-cotton-bamboo-tee#White,falling-for-you-cardi#Port,hard,0.3333333333333333,1,0
Alex,the-cotton-bamboo-tee#White,the-tie-front-top#Navy,semi-hard,0.5373415381048283,1,0
Alex,the-cotton-bamboo-tee#White,meredith-78-oversized-pullover-knit#CameoRose,random,1.088450759188307,1,0
Alex,the-cross-over-blouse#Black,everyday-linen-tunic#BotanicalB,hard,0.33180770312595026,1,0
Alex,the-cross-over-blouse#Black,ava-short-sleeve-linen-tee#Blush,semi-hard,0.5007833369004346,1,0
Alex,the-cross-over-blouse#Black,st-helens-henley-tee#White,random,0.4398497548641227,1,0
Alex,the-cross-over-blouse#Blue,falling-for-you-cardi#Dusty,hard,0.3333333333333333,1,0
Alex,the-cross-over-blouse#Blue,the-soft-knit-jumper#NavyStripe,semi-hard,0.5585355470412942,1,0
Alex,the-cross-over-blouse#Blue,fundamental-rib-long-sleeve-tee#Black,random,0.49513273417727444,1,0
Alex,the-cross-over-blouse#Mint,falling-for-you-cardi#Rust,hard,0.3333333333333333,1,0
Alex,the-cross-over-blouse#Mint,on-the-open-road-maxi-shirt#DarkOchre,semi-hard,0.5683267466223645,1,0
Alex,the-cross-over-blouse#Mint,waterfall-cardi-1#Navy,random,0.4862763453819488,1,0
Alex,the-cross-over-blouse#Red,geena-xo-ls-pullover-knit#Allure,hard,0.3687593453667448,1,0
Alex,the-cross-over-blouse#Red,drama-top#BlackGrey,semi-hard,0.5059913047520805,1,0
Alex,the-cross-over-blouse#Red,the-cross-front-spot-blouse#Spot,random,0.8275186476066505,1,0
Alex,the-cross-over-blouse#RoyalBlue,lake-house-top#CoalPrint,hard,0.3638573770578081,1,0
Alex,the-cross-over-blouse#RoyalBlue,chasing-birds-blouse#White,semi-hard,0.605044699872286,1,0
Alex,the-cross-over-blouse#RoyalBlue,clio-knit-jumper#StoneBlack,random,0.7004221654604796,1,0
Alex,the-cross-over-blouse#Silver,magnolia-fields-keyhole-blouse#Magnolia,hard,0.33600946334423343,1,0
Alex,the-cross-over-blouse#Silver,agra-shirt#White,semi-hard,0.5598350537287319,1,0
Alex,the-cross-over-blouse#Silver,rib-tank-2#Navy,random,0.4436045309788126,1,0
Alex,the-cross-over-blouse#Sunshine,mila-knit-cardigan#StoneBlack,hard,0.3309924231260438,1,0
Alex,the-cross-over-blouse#Sunshine,fundamental-sydney-crew#Burgundy,semi-hard,0.5395366028447924,1,0
Alex,the-cross-over-blouse#Sunshine,the-tie-layering-knit#Grey,random,0.859235312899106,1,0
Alex,the-cross-over-blouse#White,cable-knit-sweater#Camel,hard,0.35550432964226064,1,0
Alex,the-cross-over-blouse#White,the-cotton-blend-stripe-jumper#BlueStripe,semi-hard,0.547041294167731,1,0
Alex,the-cross-over-blouse#White,belle-tie-neck-blouse-tee#RoyalBlue,random,0.6209502070673047,1,0
Alex,the-short-sleeve-wrap-jersey-top#Black,falling-for-you-cardi#Navy,hard,0.3333333333333333,1,0
Alex,the-short-sleeve-wrap-jersey-top#Black,not-today-buttoned-cardigan#Almond,semi-hard,0.5323009791400596,1,0
Alex,the-short-sleeve-wrap-jersey-top#Black,the-spotted-tunic#NavySpot,random,0.7899132499976609,1,0
Alex,the-short-sleeve-wrap-jersey-top#Blue,pure-merino-fine-rib-v-neck#Charcoal,hard,0.09406514267625378,1,0
Alex,the-short-sleeve-wrap-jersey-top#Blue,frill-me-tie-throw-on#WhiteBlk,semi-hard,0.5195363301954538,1,0
Alex,the-short-sleeve-wrap-jersey-top#Blue,the-roll-neck-sweater#Natural,random,0.5341576261116491,1,0
Alex,the-short-sleeve-wrap-jersey-top#Emerald,cara-tee-2#Blush,hard,0.3498402406448384,1,0
Alex,the-short-sleeve-wrap-jersey-top#Emerald,the-long-sleeve-scoop-neck-tee#Navy,semi-hard,0.5313963388676033,1,0
Alex,the-short-sleeve-wrap-jersey-top#Emerald,karmen-top#HighRiskRe,random,0.492013445437775,1,0
Alex,the-short-sleeve-wrap-jersey-top#NavyWhite,monaco-knot-top#HeatheGrey,hard,0.24507835050220106,1,0
Alex,the-short-sleeve-wrap-jersey-top#NavyWhite,foil-spot-jumper#SilverDot,semi-hard,0.5107074073489303,1,0
Alex,the-short-sleeve-wrap-jersey-top#NavyWhite,gloria-applique-crew#Charcoal,random,0.3951423536552847,1,0
Alex,the-sleeveless-cross-over-blouse#Black,cara-tee-2#WhiteBlk,hard,0.3498402406448384,1,0
Alex,the-sleeveless-cross-over-blouse#Black,spliced-lace-panel-tee#White,semi-hard,0.5362877508471379,1,0
Alex,the-sleeveless-cross-over-blouse#Black,kimberly-spliced-top#Zebraprint,random,0.45353214659967533,1,0
Alex,the-sleeveless-cross-over-blouse#Chambray,the-long-sleeve-v-neck-tee#Navy,hard,0.3389508234156222,1,0
Alex,the-sleeveless-cross-over-blouse#Chambray,snake-print-johnny-collar-top#BeigeSnake,semi-hard,0.5447784873970218,1,0
Alex,the-sleeveless-cross-over-blouse#Chambray,belle-half-sleeve-forgiver-tunic#Apricot,random,0.5717234968761549,1,0
Alex,the-sleeveless-cross-over-blouse#Cobalt,colourblock-cardi#NavyRed,hard,0.3393604918389401,1,0
Alex,the-sleeveless-cross-over-blouse#Cobalt,natural-textured-poncho#Deeprain,semi-hard,0.5632183908045977,1,0
Alex,the-sleeveless-cross-over-blouse#Cobalt,layer-me-bamboo-rouched-sleeve-tee#Copper,random,0.44162404053747445,1,0
Alex,the-sleeveless-cross-over-blouse#Mint,henson-jumper#Cream,hard,0.2761552583750859,1,0
Alex,the-sleeveless-cross-over-blouse#Mint,geneva-v-neck-top#Black,semi-hard,0.5739631138338035,1,0
Alex,the-sleeveless-cross-over-blouse#Mint,print-tee-3#Cntryhous,random,0.9179929509790621,1,0
Alex,the-sleeveless-cross-over-blouse#Salmon,the-long-sleeve-v-neck-tee#Black,hard,0.3389508234156222,1,0
Alex,the-sleeveless-cross-over-blouse#Salmon,fundamental-sydney-crew#GreyMarle,semi-hard,0.5395366028447924,1,0
Alex,the-sleeveless-cross-over-blouse#Salmon,long-sleeve-softly-swinging-bamboo-tee#TeaRose,random,0.6296823869111944,1,0
Alex,the-sleeveless-cross-over-blouse#Sunshine,monaco-knot-top#Black,hard,0.24507835050220106,1,0
Alex,the-sleeveless-cross-over-blouse#Sunshine,messina-v-neck-tee#White,semi-hard,0.5265125898207795,1,0
Alex,the-sleeveless-cross-over-blouse#Sunshine,ryder-cosy-sweater#Blossom,random,0.5112203243489163,1,0
Alex,the-sleeveless-cross-over-blouse#White,falling-for-you-cardi#Mustard,hard,0.3333333333333333,1,0
Alex,the-sleeveless-cross-over-blouse#White,foil-striped-2-in-1-top#Blue,semi-hard,0.5745052450033293,1,0
Alex,the-sleeveless-cross-over-blouse#White,shell-top-3#PapBlue,random,0.5777636117075773,1,0
Alex,viola-kimono-radiant-floral#Grey,the-uneven-hem-knit-1#Sage,hard,0.36400462962962965,1,0
Alex,viola-kimono-radiant-floral#Grey,the-side-ring-detail-blouse-1#Black,semi-hard,0.5410459873911742,1,0
Alex,viola-kimono-radiant-floral#Grey,the-long-sleeve-v-neck-tee#White,random,0.3389508234156222,1,0
Amanda,the-asymmetrical-hem-sweater#Blush,34-sleeve-shirt-1#SkyWhite,hard,0.31845849794663994,1,0
Amanda,the-asymmetrical-hem-sweater#Blush,belle-half-sleeve-forgiver-tunic#Apricot,semi-hard,0.5388992781064628,1,0
Amanda,the-asymmetrical-hem-sweater#Blush,half-sleeve-fluffy-knit#Ivory,random,0.5526395329337114,1,0
Amanda,the-batwing-tee#Black,merino-boyfriend-cardigan#MelangeStr,hard,0.34452330066417325,1,0
Amanda,the-batwing-tee#Black,luxe-shirt#Black,semi-hard,0.48514937723194845,1,0
Amanda,the-batwing-tee#Black,the-boat-neck-top-1#NavyWhite,random,0.6422190718734522,1,0
Amanda,the-batwing-tee#FrenchBlue,pure-merino-fine-rib-v-neck#Charcoal,hard,0.0635027111632847,1,0
Amanda,the-batwing-tee#FrenchBlue,freya-fringe-blouse#Navy,semi-hard,0.43858883658529935,1,0
Amanda,the-batwing-tee#FrenchBlue,hem-frill-stripe-top#Frilled,random,0.6401881369218709,1,0
Amanda,the-batwing-tee#Sea,aztec-cardigan#BlackIvory,hard,0.3393874629985687,1,0
Amanda,the-batwing-tee#Sea,ruffle-hem-jersey-top#Pink,semi-hard,0.49794956495286824,1,0
Amanda,the-batwing-tee#Sea,softly-swinging-bamboo-tee#Navy,random,0.6171497490337703,1,0
Amanda,the-batwing-tee#Stone,long-sleeve-tee-2#NavyWhite,hard,0.29242928290348624,1,0
Amanda,the-batwing-tee#Stone,falling-for-you-tunic#Rust,semi-hard,0.5321273824241739,1,0
Amanda,the-batwing-tee#Stone,star-and-spot-sweater#SilverMult,random,0.526055052669758,1,0
Amanda,the-bell-sleeve-top#BlkStripe,high-neck-tie-top#Black,hard,0.29030474749326274,1,0
Amanda,the-bell-sleeve-top#BlkStripe,layered-tunic-1#White,semi-hard,0.4465882632824901,1,0
Amanda,the-bell-sleeve-top#BlkStripe,cover-up-slouch-cardi#Alloy,random,0.3904626007667438,1,0
Amanda,the-bell-sleeve-top#Grey,geena-xo-ls-pullover-knit#WhiteCapGr,hard,0.3418044998420492,1,0
Amanda,the-bell-sleeve-top#Grey,spiced-stripe-tee#NavyWhite,semi-hard,0.48772615235814654,1,0
Amanda,the-bell-sleeve-top#Grey,lavaux-bell-sleeve#Mustard,random,1.0008048664438456,1,0
Amanda,the-belle-sleeve-print-top#NavyPrint,faith-jumper#Eventide,hard,0.2954342476278134,1,0
Amanda,the-belle-sleeve-print-top#NavyPrint,great-scot-merino-carcoat#Twilight,semi-hard,0.44088936035786574,1,0
Amanda,the-belle-sleeve-print-top#NavyPrint,rib-tank-2#Khaki,random,0.4155445986685335,1,0
Amanda,the-blouson-sleeve-jumper#Grey,renee-sweater#Sapphire,hard,0.29873171378539753,1,0
Amanda,the-blouson-sleeve-jumper#Grey,the-relaxed-long-sleeve-tee#Navy,semi-hard,0.5307900008710043,1,0
Amanda,the-blouson-sleeve-jumper#Grey,the-cotton-bamboo-tank#DuckEgg,random,0.6158091174646756,1,0
Amanda,the-blouson-sleeve-jumper#Navy,leah-knit-cardigan#WhiteBlk,hard,0.3255448326696801,1,0
Amanda,the-blouson-sleeve-jumper#Navy,willow-knot-top#WhiteBlk,semi-hard,0.47518515340725165,1,0
Amanda,the-blouson-sleeve-jumper#Navy,the-excess-shirt#Pearl,random,0.47196861264620193,1,0
Amanda,the-bonded-cotton-shirt#Pink,colourblock-cardi#NavyRed,hard,0.31290438323147785,1,0
Amanda,the-bonded-cotton-shirt#Pink,snake-print-johnny-collar-top#BeigeSnake,semi-hard,0.5129743885745041,1,0
Amanda,the-bonded-cotton-shirt#Pink,luxe-shirt#Champagne,random,0.48514937723194845,1,0
Amanda,the-bonded-cotton-tunic-dress#Navy,henson-jumper#Cream,hard,0.25464004773623394,1,0
Amanda,the-bonded-cotton-tunic-dress#Navy,wrap-me-up-bamboo-top#Black,semi-hard,0.5386550394096931,1,0
Amanda,the-bonded-cotton-tunic-dress#Navy,heart-spliced-top#Navy,random,0.5373875331989126,1,0
Amanda,the-box-top#Blush,relaxed-v-neck-knit#Silver,hard,0.34573181908591355,1,0
Amanda,the-box-top#Blush,belle-off-the-shoulder-tee#Stripe,semi-hard,0.5565697771919083,1,0
Amanda,the-box-top#Blush,longline-gather-back-shirt#Black,random,0.7132018571891001,1,0
Amanda,the-box-top#Khaki,niue-neck-tie-shirt#LightBlue,hard,0.34524041667804173,1,0
Amanda,the-box-top#Khaki,frost-cardigan#Mauvewoo,semi-hard,0.5142950325456594,1,0
Amanda,the-box-top#Khaki,silver-dot-tie-sleeve-blouse#SilverDotP,random,0.43597582378153654,1,0
Amanda,the-check-pullover#PinkCheck,ally-long-sleeve-tee#CosmosPr,hard,0.25086677924721834,1,0
Amanda,the-check-pullover#PinkCheck,circles-knit#Plum,semi-hard,0.44931632665000054,1,0
Amanda,the-check-pullover#PinkCheck,the-button-up-swing-tunic#Wine,random,0.7986595634318608,1,0
Amanda,the-colour-block-pullover#Sage,rika-top#BatikTile,hard,0.28328227558315033,1,0
Amanda,the-colour-block-pullover#Sage,irena-embroidered-blouse#DustyRose,semi-hard,0.4378843956335386,1,0
Amanda,the-colour-block-pullover#Sage,the-cotton-bamboo-tee#DuckEgg,random,0.3045115421065563,1,0
Amanda,the-contrast-knit-1#Navy,analia-top#White,hard,0.29030474749326274,1,0
Amanda,the-contrast-knit-1#Navy,baobab-sweater#Bark,semi-hard,0.559271840432018,1,0
Amanda,the-contrast-knit-1#Navy,collared-shirt-1#White,random,0.4295412797522708,1,0
Amanda,the-contrast-knit-1#Sage,holly-rib-long-sleeve-tee#Khaki,hard,0.23803035384873386,1,0
Amanda,the-contrast-knit-1#Sage,mauevewood-crew#YellowWhit,semi-hard,0.5234420398659954,1,0
Amanda,the-contrast-knit-1#Sage,ynes#Black,random,0.32569985842930627,1,0
Amanda,the-contrast-trim-knit#BlackWhite,everyday-linen-tunic#BotanicalB,hard,0.30697830419369054,1,0
Amanda,the-contrast-trim-knit#BlackWhite,karmen-top#HighRiskRe,semi-hard,0.44723274144043307,1,0
Amanda,the-contrast-trim-knit#BlackWhite,starry-night-cardi#Chalk,random,0.3485759080219493,1,0
Amanda,the-cosy-cardigan#Blue,natural-classic-cardigan#Pebble,hard,0.30036582179252674,1,0
Amanda,the-cosy-cardigan#Blue,falling-flowers-blouse#DustyPink,semi-hard,0.4354517587136177,1,0
Amanda,the-cosy-cardigan#Blue,grace-oversized-knit#Clay,random,0.6731915611386495,1,0
Amanda,the-cosy-cardigan#Grey,manhattan-stretch-tee#White,hard,0.3173820926722541,1,0
Amanda,the-cosy-cardigan#Grey,jade-kimono-kaleidoscope#Blue,semi-hard,0.5522602560752548,1,0
Amanda,the-cosy-cardigan#Grey,the-relaxed-long-sleeve-tee#Khaki,random,0.5307900008710043,1,0
Amanda,the-cotton-blend-stripe-jumper#BlueStripe,magnolia-fields-keyhole-blouse#Magnolia,hard,0.31503330616320024,1,0
Amanda,the-cotton-blend-stripe-jumper#BlueStripe,the-side-ring-detail-blouse-1#Black,semi-hard,0.511890183261898,1,0
Amanda,the-cotton-blend-stripe-jumper#BlueStripe,icing-sugar-top#Ivory,random,0.5150677238318468,1,0
Amanda,the-cross-front-spot-blouse#NavySpot,high-street-knit#NavyStripe,hard,0.31685802760433524,1,0
Amanda,the-cross-front-spot-blouse#NavySpot,fundamental-sydney-crew#GreyMarle,semi-hard,0.5073564110464142,1,0
Amanda,the-cross-front-spot-blouse#NavySpot,yvette-blouse#Black,random,0.7196042260607076,1,0
Amanda,the-cross-front-spot-blouse#Spot,paige-top#Black,hard,0.28869046458327646,1,0
Amanda,the-cross-front-spot-blouse#Spot,the-contrast-panel-top#BlkStripe,semi-hard,0.5507577737130912,1,0
Amanda,the-cross-front-spot-blouse#Spot,square-nk-fray-trim-top#Denim,random,0.3940369682811446,1,0
Amanda,the-curve-striped-tank#Marine,the-reversible-cowl-neck-top-2#Ocean,hard,0.2520767601761249,1,0
Amanda,the-curve-striped-tank#Marine,the-cape-jersey-top#DarkNavy,semi-hard,0.46771466680186735,1,0
Amanda,the-curve-striped-tank#Marine,sky-shirt#Clouds,random,0.7849617213124345,1,0
Amanda,the-daily-cross-over-top#PinkPrint,overlay-tunic-3-pce-set#Emerald,hard,0.26668818177209064,1,0
Amanda,the-daily-cross-over-top#PinkPrint,long-sleeve-layer-top#White,semi-hard,0.5388402903174225,1,0
Amanda,the-daily-cross-over-top#PinkPrint,belle-v-neck-forgiver-tunic#Charcoal,random,0.569078113482756,1,0
Amanda,the-daily-cross-over-top#SkyBlue,ricki-one-shoulder-top#BlackWhite,hard,0.31762633136902374,1,0
Amanda,the-daily-cross-over-top#SkyBlue,layered-tunic-1#Natural,semi-hard,0.4465882632824901,1,0
Amanda,the-daily-cross-over-top#SkyBlue,milan-stretch-top#SilverMarl,random,0.5999847899254707,1,0
Amanda,the-daily-essential-jumper#Grey,monaco-knot-top#ClaySpot,hard,0.21335737045111522,1,0
Amanda,the-daily-essential-jumper#Grey,tie-back-bell-sleeve-top-5#Summerbud,semi-hard,0.5023463489971101,1,0
Amanda,the-daily-essential-jumper#Grey,belle-nautical-applique-tee#BlueStripe,random,0.6435801785428749,1,0
Amanda,the-dobby-sleeve-tee#InkBlue,geena-xo-ls-pullover-knit#Allure,hard,0.3418044998420492,1,0
Amanda,the-dobby-sleeve-tee#InkBlue,belle-petal-print-top#Petal,semi-hard,0.5598267806512252,1,0
Amanda,the-dobby-sleeve-tee#InkBlue,layer-me-bamboo-rouched-sleeve-tee#Fern,random,0.41379154007854635,1,0
Amanda,the-dobby-sleeve-tee#White,vivid-dreams-blouse#Dusty%20Rose,hard,0.3312949233451244,1,0
Amanda,the-dobby-sleeve-tee#White,the-tie-front-top#Navy,semi-hard,0.5096052595657719,1,0
Amanda,the-dobby-sleeve-tee#White,softly-swinging-bamboo-tee#Copper,random,0.6171497490337703,1,0
Amanda,the-double-layer-top#Black,drapey-stripe-tee#Navy,hard,0.3355566692276792,1,0
Amanda,the-double-layer-top#Black,prickly-cactus-crew#Pink,semi-hard,0.49050247846214445,1,0
Amanda,the-double-layer-top#Black,reversible-scoopv-neck-tank#White,random,0.37736341158071673,1,0
Amanda,the-double-layer-top#White,cable-knit-sweater#Camel,hard,0.32969445300281974,1,0
Amanda,the-double-layer-top#White,fern-print-top#Navy,semi-hard,0.5125824366539397,1,0
Amanda,the-double-layer-top#White,reversible-scoopv-neck-tank#Navy,random,0.37736341158071673,1,0
Amanda,the-essential-layering-tee#Ink,mila-knit-cardigan#Clay,hard,0.304477416939343,1,0
Amanda,the-essential-layering-tee#Ink,sparkly-star-tee#Blue,semi-hard,0.45939202602092755,1,0
Amanda,the-essential-layering-tee#Ink,the-slouch-pocket-tee#Stripe,random,0.631652295096246,1,0
Amanda,the-essential-layering-tee#White,elina-lace-frill-blouse#Black,hard,0.29407801598227834,1,0
Amanda,the-essential-layering-tee#White,the-cross-over-poncho#Navy,semi-hard,0.44423021422804965,1,0
Amanda,the-essential-layering-tee#White,picnic-top#BlackWhite,random,0.43724820501620454,1,0
Amanda,the-essential-pullover#DustyPeach,manhattan-stretch-tee#Navy,hard,0.3173820926722541,1,0
Amanda,the-essential-pullover#DustyPeach,the-side-panel-drape-top#OffWhite,semi-hard,0.5088406933193973,1,0
Amanda,the-essential-pullover#DustyPeach,layer-me-cotton-candy-top#Cream,random,0.6899050930349558,1,0
Amanda,the-essential-pullover#SkyBlue,the-uneven-hem-knit-1#Sage,hard,0.2945157931273863,1,0
Amanda,the-essential-pullover#SkyBlue,true-love-bell-blouse#Jade,semi-hard,0.5155079384888986,1,0
Amanda,the-essential-pullover#SkyBlue,contrast-pocket-tunic#Pinkpocket,random,0.8061313500436151,1,0
Amanda,the-everyday-shirt#Black,bamboo-layer-tank#Black,hard,0.2704687627969377,1,0
Amanda,the-everyday-shirt#Black,you-at-my-shoulder-tunic#Black,semi-hard,0.43918212699242226,1,0
Amanda,the-everyday-shirt#Black,milan-34-sleeve-1#Melange,random,0.5999847899254707,1,0
Amanda,the-everyday-shirt#Cream,manhattan-stretch-tee#Black,hard,0.3173820926722541,1,0
Amanda,the-everyday-shirt#Cream,layered-tee-2#Black,semi-hard,0.47905494736924215,1,0
Amanda,the-everyday-shirt#Cream,cascade-hood-top#Black,random,0.5626684320753171,1,0
Amanda,the-everyday-shirt#Midnight,eco-78-long-cardigan#DarkGreyM,hard,0.31976646685568755,1,0
Amanda,the-everyday-shirt#Midnight,ella-funnel-neck-top#Khaki,semi-hard,0.5399600833044081,1,0
Amanda,the-everyday-shirt#Midnight,amira-sweater#Cream,random,0.38139651884294234,1,0
Amanda,the-everyday-shirt#Pink,the-cotton-bamboo-tee#White,hard,0.3045115421065563,1,0
Amanda,the-everyday-shirt#Pink,rise-top#Ink,semi-hard,0.47077569430090205,1,0
Amanda,the-everyday-shirt#Pink,the-frill-wrap-blouse#Spot,random,0.46431921266414206,1,0
Amanda,the-everyday-shirt#Rose,monaco-knot-top#Black,hard,0.21335737045111522,1,0
Amanda,the-everyday-shirt#Rose,diva-ruffle-jumper#Gold%20Spot,semi-hard,0.48565280469874306,1,0
Amanda,the-everyday-shirt#Rose,cara-tee-4#White,random,0.3586165072208854,1,0
Amanda,the-fleck-roll-neck-knit#Oatmeal,lake-house-top#CoalPrint,hard,0.34235489003896125,1,0
Amanda,the-fleck-roll-neck-knit#Oatmeal,daisy-top-1#BrightBlue,semi-hard,0.5054122515200324,1,0
Amanda,the-fleck-roll-neck-knit#Oatmeal,the-tie-sleeve-blouse#Grey,random,0.49611265595201415,1,0
Amanda,the-frill-detail-blouse#Chambray,back-to-you-top#Rust,hard,0.25494814924593134,1,0
Amanda,the-frill-detail-blouse#Chambray,natural-cosy-sweater#Rosered,semi-hard,0.5551998954794879,1,0
Amanda,the-frill-detail-blouse#Chambray,runaway-top#SoftMint,random,0.5472519815347096,1,0
Amanda,the-high-low-drape-tee#Grey,butterfly-blouse-1#Ivory,hard,0.3474088273032538,1,0
Amanda,the-high-low-drape-tee#Grey,heartmade-sweater#Rust,semi-hard,0.523909067154429,1,0
Amanda,the-high-low-drape-tee#Grey,meredith-78-oversized-pullover-knit#WhiteCapGr,random,1.013377065547621,1,0
Amanda,the-high-low-drape-tee#Sage,cara-tee-2#BlackSpot,hard,0.3372964027523735,1,0
Amanda,the-high-low-drape-tee#Sage,sunshine-in-me-tee-1#White,semi-hard,0.5333159132479749,1,0
Amanda,the-high-low-drape-tee#Sage,raspberry-ls-tee#WhiteRaspb,random,0.4724244273796942,1,0
Amanda,the-layered-cross-over-top#Black,natural-crossover-knit-1#Stormcloud,hard,0.3295950025155123,1,0
Amanda,the-layered-cross-over-top#Black,still-the-one-ruffle-blouse#Spot,semi-hard,0.47624595860519714,1,0
Amanda,the-layered-cross-over-top#Black,for-the-frill-top#Ivory,random,0.6906690092781453,1,0
Amanda,the-layered-cross-over-top#Navy,bamboo-layer-tank#Chalk,hard,0.2704687627969377,1,0
Amanda,the-layered-cross-over-top#Navy,coogee-shirt#White,semi-hard,0.44868013603266654,1,0
