product_id,product_name,product_color_raw,category,style,pattern,material,silhouette,sleeve_type,neckline,length_style,color,category_count,style_count,pattern_count,material_count,semantic_token_count,is_striped,is_floral,is_animal_print,is_checked,is_sequin,is_knit,is_stretch,is_relaxed,is_fitted,is_swing,is_longline,is_off_shoulder,is_batwing,is_long_sleeve,is_short_sleeve
sequin-star-tee#Navy,sequin-star-tee,navy,top,casual,sequin,sequin,unknown,unknown,unknown,unknown,navy,1,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sky-jumper-1#Clouds,sky-jumper-1,clouds,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
softly-swinging-bamboo-tee#Jewel,softly-swinging-bamboo-tee,jewel,top,relaxed,plain,unknown,swing,unknown,unknown,unknown,unknown,1,2,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
roll-neck-jumper-3#GreyMarl,roll-neck-jumper-3,greymarl,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,grey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-relaxed-batwing-top#Denim%20Blue,the-relaxed-batwing-top,denim-blue,top,relaxed,plain,unknown,relaxed,batwing,unknown,unknown,blue,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sunshine-in-me-tee-1#GreyMarle,sunshine-in-me-tee-1,greymarle,top,casual,plain,unknown,unknown,unknown,unknown,unknown,grey,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-boat-neck-top#Navy,the-boat-neck-top,navy,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,navy,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-v-neck-forgiver-tunic#Scarlett,belle-v-neck-forgiver-tunic,scarlett,top,romantic,plain,unknown,unknown,unknown,v_neck,unknown,unknown,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-oversize-knit#Ink,the-oversize-knit,ink,unknown,unknown,plain,knit,oversized,unknown,unknown,unknown,unknown,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
monaco-knot-top#Black,monaco-knot-top,black,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunshine-in-me-tee-1#White,sunshine-in-me-tee-1,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sand-queen-throw-blouse#Fleur,sand-queen-throw-blouse,fleur,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-essential-pullover#DustyPeach,the-essential-pullover,dustypeach,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millie-top#Moss,millie-top,moss,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hannah-tee-1#Black,hannah-tee-1,black,top,casual,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-sleeveless-cross-over-blouse#White,the-sleeveless-cross-over-blouse,white,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emerald-knit#Emerald,emerald-knit,emerald,unknown,unknown,plain,knit,unknown,unknown,unknown,unknown,unknown,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cara-tee-2#Blush,cara-tee-2,blush,top,casual,plain,unknown,unknown,unknown,unknown,unknown,blush,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-v-neck-forgiver-tunic#Charcoal,belle-v-neck-forgiver-tunic,charcoal,top,romantic,plain,unknown,unknown,unknown,v_neck,unknown,unknown,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-striped-top#BlueStripe,the-striped-top,bluestripe,top,unknown,stripe,unknown,unknown,unknown,unknown,unknown,blue,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar-snaps-layers-tank#Black,sugar-snaps-layers-tank,black,top,casual,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-v-neck-forgiver-tunic#Black,belle-v-neck-forgiver-tunic,black,top,romantic,plain,unknown,unknown,unknown,v_neck,unknown,black,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layered-tee-2#Black,layered-tee-2,black,top,casual,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-everyday-shirt#Cream,the-everyday-shirt,cream,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,cream,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lurex-stitch-top#White,lurex-stitch-top,white,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,white,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-cotton-bamboo-tank#DarkNavy,the-cotton-bamboo-tank,darknavy,top,casual,plain,unknown,unknown,unknown,unknown,unknown,navy,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stud-trim-long-sleeve-top#Mint,stud-trim-long-sleeve-top,mint,top,unknown,plain,unknown,longline,long,unknown,long,unknown,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
be-mine-top-1#Sage,be-mine-top-1,sage,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-v-neck-forgiver-tunic#DenimMarl,belle-v-neck-forgiver-tunic,denimmarl,top,romantic,plain,unknown,unknown,unknown,v_neck,unknown,unknown,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shell-top-3#PapBlue,shell-top-3,papblue,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,blue,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-layered-cross-over-top#Navy,the-layered-cross-over-top,navy,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,navy,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-cut-out-shoulder-blouse#White,the-cut-out-shoulder-blouse,white,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amira-sweater#Cream,amira-sweater,cream,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,cream,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pure-merino-fine-rib-v-neck#Charcoal,pure-merino-fine-rib-v-neck,charcoal,unknown,unknown,plain,unknown,unknown,unknown,v_neck,unknown,unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falling-for-you-cardi#Mustard,falling-for-you-cardi,mustard,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millie-top#Blush,millie-top,blush,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,blush,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfly-kisses-tee#MustardStr,butterfly-kisses-tee,mustardstr,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aigli-top#White,aigli-top,white,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,white,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cascade-hood-top#Black,cascade-hood-top,black,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar-snaps-round-neck-layer-tank#White,sugar-snaps-round-neck-layer-tank,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-shoulder-tie-top#Black,the-shoulder-tie-top,black,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-wrap-jersey-top#PortSpot,the-wrap-jersey-top,portspot,top,casual,spot,jersey,unknown,unknown,unknown,unknown,unknown,2,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merino-boyfriend-cardigan#MelangeStr,merino-boyfriend-cardigan,melangestr,cardigan,layering,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugar-snaps-throw-jacket#Black,sugar-snaps-throw-jacket,black,jacket,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falling-for-you-cardi#Navy,falling-for-you-cardi,navy,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,navy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-tie-detail-hoody#FrenchBlue,the-tie-detail-hoody,frenchblue,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-oversized-cotton-blend-shirt#Sand,the-oversized-cotton-blend-shirt,sand,top,relaxed,plain,unknown,oversized,unknown,unknown,unknown,unknown,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
luxe-shirt#Navy,luxe-shirt,navy,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,navy,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-sleeveless-cross-over-blouse#Mint,the-sleeveless-cross-over-blouse,mint,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-v-neck-forgiver-tunic#Navy,belle-v-neck-forgiver-tunic,navy,top,romantic,plain,unknown,unknown,unknown,v_neck,unknown,navy,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-dobby-sleeve-tee#White,the-dobby-sleeve-tee,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-cotton-bamboo-tank#DuckEgg,the-cotton-bamboo-tank,duckegg,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-drape-tee-1#White,the-drape-tee-1,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodega-knit#Moss,bodega-knit,moss,unknown,unknown,plain,knit,unknown,unknown,unknown,unknown,unknown,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
baobab-sweater#Bark,baobab-sweater,bark,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contrast-stripe-sweater#Pockets,contrast-stripe-sweater,pockets,top,unknown,stripe,unknown,unknown,unknown,unknown,unknown,stripe,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-everyday-shirt#Black,the-everyday-shirt,black,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan-top#PearlBlue,jordan-top,pearlblue,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,blue,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layered-tee-2#White,layered-tee-2,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-cut-out-shoulder-blouse#Black,the-cut-out-shoulder-blouse,black,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high-street-knit#NavyStripe,high-street-knit,navystripe,unknown,unknown,stripe,knit,unknown,unknown,unknown,unknown,navy,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
manhattan-stretch-tee#White,manhattan-stretch-tee,white,top,fitted,plain,stretch,fitted,unknown,unknown,unknown,white,1,2,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
the-cross-over-blouse#Blue,the-cross-over-blouse,blue,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,blue,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazy-daze-tee#Khaki,lazy-daze-tee,khaki,top,casual,plain,unknown,unknown,unknown,unknown,unknown,khaki,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-boat-neck-top-1#NavyWhite,the-boat-neck-top-1,navywhite,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,white,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voyager-stripe-crew#Stripe,voyager-stripe-crew,stripe,unknown,sporty,stripe,unknown,unknown,unknown,crew,unknown,stripe,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-side-ring-detail-blouse-1#Black,the-side-ring-detail-blouse-1,black,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-ls-free-fall-tee#Greenland,belle-ls-free-fall-tee,greenland,top,casual,plain,unknown,unknown,unknown,unknown,unknown,green,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prickly-cactus-crew#Pink,prickly-cactus-crew,pink,unknown,sporty,plain,unknown,unknown,unknown,crew,unknown,pink,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-open-sleeve-blouse#Berry,the-open-sleeve-blouse,berry,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selene-cardigan#Ivy,selene-cardigan,ivy,cardigan,layering,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juno-cardigan#GreyMarle,juno-cardigan,greymarle,cardigan,layering,plain,unknown,unknown,unknown,unknown,unknown,grey,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-cotton-bamboo-tank#Chambray,the-cotton-bamboo-tank,chambray,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-long-sleeve-v-neck-tee#Black,the-long-sleeve-v-neck-tee,black,top,casual,plain,unknown,longline,long,v_neck,long,black,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
the-long-sleeve-scoop-neck-tee#Grey,the-long-sleeve-scoop-neck-tee,grey,top,casual,plain,unknown,longline,long,scoop,long,grey,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
the-cotton-bamboo-tee#DuckEgg,the-cotton-bamboo-tee,duckegg,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shirt-in-a-box#Silver,shirt-in-a-box,silver,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,silver,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
softly-falling-bamboo-tunic#Copper,softly-falling-bamboo-tunic,copper,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo-cosy-cardigan#Storm,bo-cosy-cardigan,storm,cardigan,relaxed,plain,cosy,relaxed,unknown,unknown,unknown,unknown,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lake-house-top#CoalPrint,lake-house-top,coalprint,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
billow-top#Peach,billow-top,peach,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-mid-length-knit-cardi#Black,belle-mid-length-knit-cardi,black,unknown,romantic,plain,knit,unknown,unknown,unknown,mid,black,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
