person_id,positive_count,category_top,category_top_share,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,style_top,style_top_share,style_1,style_1_share,style_2,style_2_share,style_3,style_3_share,pattern_top,pattern_top_share,pattern_1,pattern_1_share,pattern_2,pattern_2_share,pattern_3,pattern_3_share,material_top,material_top_share,material_1,material_1_share,material_2,material_2_share,material_3,material_3_share,silhouette_top,silhouette_top_share,silhouette_1,silhouette_1_share,silhouette_2,silhouette_2_share,silhouette_3,silhouette_3_share,sleeve_type_top,sleeve_type_top_share,sleeve_type_1,sleeve_type_1_share,sleeve_type_2,sleeve_type_2_share,sleeve_type_3,sleeve_type_3_share,neckline_top,neckline_top_share,neckline_1,neckline_1_share,neckline_2,neckline_2_share,neckline_3,neckline_3_share,length_style_top,length_style_top_share,length_style_1,length_style_1_share,length_style_2,length_style_2_share,length_style_3,length_style_3_share,color_top,color_top_share,color_1,color_1_share,color_2,color_2_share,color_3,color_3_share
Denniel,26,top,1.0,top,1.0,unknown,0.0,unknown,0.0,elegant,0.5384615384615384,elegant,0.5384615384615384,casual,0.3076923076923077,relaxed,0.15384615384615385,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,0.8461538461538461,unknown,0.8461538461538461,jersey,0.15384615384615385,unknown,0.0,unknown,0.8461538461538461,unknown,0.8461538461538461,relaxed,0.15384615384615385,unknown,0.0,unknown,0.6923076923076923,unknown,0.6923076923076923,short,0.15384615384615385,batwing,0.15384615384615385,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8461538461538461,unknown,0.8461538461538461,short,0.15384615384615385,unknown,0.0,unknown,0.2692307692307692,unknown,0.2692307692307692,blue,0.23076923076923078,white,0.15384615384615385
Edith,3,top,1.0,top,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,plain,0.6666666666666666,plain,0.6666666666666666,spot,0.3333333333333333,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.6666666666666666,unknown,0.6666666666666666,off_shoulder,0.3333333333333333,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0
Emma,87,top,0.896551724137931,top,0.896551724137931,cardigan,0.04597701149425287,unknown,0.034482758620689655,unknown,0.28735632183908044,unknown,0.28735632183908044,casual,0.2413793103448276,relaxed,0.21839080459770116,plain,0.8045977011494253,plain,0.8045977011494253,stripe,0.13793103448275862,check,0.022988505747126436,unknown,0.9885057471264368,unknown,0.9885057471264368,sequin,0.011494252873563218,unknown,0.0,unknown,0.7471264367816092,unknown,0.7471264367816092,swing,0.16091954022988506,relaxed,0.05747126436781609,unknown,0.7011494252873564,unknown,0.7011494252873564,long,0.2413793103448276,bell,0.04597701149425287,unknown,0.8850574712643678,unknown,0.8850574712643678,v_neck,0.11494252873563218,unknown,0.0,unknown,0.735632183908046,unknown,0.735632183908046,long,0.25287356321839083,mid,0.011494252873563218,unknown,0.3793103448275862,unknown,0.3793103448275862,stripe,0.10344827586206896,navy,0.09195402298850575
Fiona,184,top,0.7391304347826086,top,0.7391304347826086,unknown,0.19021739130434784,kimono,0.03260869565217391,unknown,0.4782608695652174,unknown,0.4782608695652174,casual,0.18478260869565216,romantic,0.11956521739130435,plain,0.8586956521739131,plain,0.8586956521739131,stripe,0.07608695652173914,spot,0.03804347826086957,unknown,0.907608695652174,unknown,0.907608695652174,knit,0.04891304347826087,jersey,0.016304347826086956,unknown,0.8315217391304348,unknown,0.8315217391304348,swing,0.08695652173913043,longline,0.05434782608695652,unknown,0.8586956521739131,unknown,0.8586956521739131,long,0.125,bell,0.016304347826086956,unknown,0.907608695652174,unknown,0.907608695652174,v_neck,0.07065217391304347,cowl,0.021739130434782608,unknown,0.8586956521739131,unknown,0.8586956521739131,long,0.1358695652173913,short,0.005434782608695652,unknown,0.29347826086956524,unknown,0.29347826086956524,white,0.14130434782608695,navy,0.11956521739130435
Gemma,84,top,0.7976190476190477,top,0.7976190476190477,unknown,0.14285714285714285,cardigan,0.047619047619047616,unknown,0.47619047619047616,unknown,0.47619047619047616,casual,0.2261904761904762,relaxed,0.15476190476190477,plain,0.8095238095238095,plain,0.8095238095238095,animal,0.07142857142857142,floral,0.047619047619047616,unknown,0.8333333333333334,unknown,0.8333333333333334,knit,0.07142857142857142,cosy,0.05952380952380952,unknown,0.7142857142857143,unknown,0.7142857142857143,longline,0.13095238095238096,relaxed,0.09523809523809523,unknown,0.9404761904761905,unknown,0.9404761904761905,long,0.05952380952380952,unknown,0.0,unknown,0.9761904761904762,unknown,0.9761904761904762,v_neck,0.011904761904761904,collared,0.011904761904761904,unknown,0.8690476190476191,unknown,0.8690476190476191,long,0.13095238095238096,unknown,0.0,unknown,0.34523809523809523,unknown,0.34523809523809523,black,0.15476190476190477,white,0.13095238095238096
Georgia,131,top,0.7633587786259542,top,0.7633587786259542,unknown,0.16030534351145037,kimono,0.04580152671755725,unknown,0.4351145038167939,unknown,0.4351145038167939,casual,0.22900763358778625,relaxed,0.21374045801526717,plain,0.9694656488549618,plain,0.9694656488549618,stripe,0.022900763358778626,floral,0.007633587786259542,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.7786259541984732,unknown,0.7786259541984732,swing,0.21374045801526717,longline,0.007633587786259542,unknown,0.8931297709923665,unknown,0.8931297709923665,long,0.10687022900763359,unknown,0.0,unknown,0.9923664122137404,unknown,0.9923664122137404,off_shoulder,0.007633587786259542,unknown,0.0,unknown,0.8854961832061069,unknown,0.8854961832061069,long,0.11450381679389313,unknown,0.0,unknown,0.5038167938931297,unknown,0.5038167938931297,white,0.12213740458015267,black,0.07633587786259542
Grazi,1,top,1.0,top,1.0,unknown,0.0,unknown,0.0,elegant,1.0,elegant,1.0,unknown,0.0,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0
Helen,8,top,0.875,top,0.875,unknown,0.125,unknown,0.0,elegant,0.625,elegant,0.625,unknown,0.375,unknown,0.0,plain,0.875,plain,0.875,stripe,0.125,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.375,unknown,0.375,blue,0.25,navy,0.25
Jess,251,top,0.8725099601593626,top,0.8725099601593626,unknown,0.10358565737051793,cardigan,0.01195219123505976,unknown,0.3386454183266932,unknown,0.3386454183266932,casual,0.24302788844621515,relaxed,0.1394422310756972,plain,0.8884462151394422,plain,0.8884462151394422,stripe,0.06374501992031872,spot,0.035856573705179286,unknown,0.9402390438247012,unknown,0.9402390438247012,knit,0.03187250996015936,jersey,0.01593625498007968,unknown,0.8366533864541833,unknown,0.8366533864541833,swing,0.11553784860557768,relaxed,0.02390438247011952,unknown,0.8565737051792829,unknown,0.8565737051792829,long,0.07171314741035857,short,0.04780876494023904,unknown,0.9282868525896414,unknown,0.9282868525896414,v_neck,0.05179282868525897,off_shoulder,0.01195219123505976,unknown,0.900398406374502,unknown,0.900398406374502,long,0.07569721115537849,short,0.0199203187250996,unknown,0.3187250996015936,unknown,0.3187250996015936,black,0.1394422310756972,white,0.13147410358565736
Jira,1,top,1.0,top,1.0,unknown,0.0,unknown,0.0,elegant,1.0,elegant,1.0,unknown,0.0,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,black,1.0,black,1.0,unknown,0.0,unknown,0.0
Jude,14,unknown,0.6428571428571429,unknown,0.6428571428571429,top,0.2857142857142857,cardigan,0.07142857142857142,unknown,0.9285714285714286,unknown,0.9285714285714286,layering,0.07142857142857142,unknown,0.0,plain,0.8571428571428571,plain,0.8571428571428571,stripe,0.14285714285714285,unknown,0.0,unknown,0.9285714285714286,unknown,0.9285714285714286,knit,0.07142857142857142,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.5,unknown,0.5,stripe,0.14285714285714285,teal,0.07142857142857142
Kate,52,top,1.0,top,1.0,unknown,0.0,unknown,0.0,casual,0.34615384615384615,casual,0.34615384615384615,elegant,0.28846153846153844,unknown,0.17307692307692307,plain,0.9807692307692307,plain,0.9807692307692307,spot,0.019230769230769232,unknown,0.0,unknown,0.9230769230769231,unknown,0.9230769230769231,jersey,0.07692307692307693,unknown,0.0,unknown,0.9230769230769231,unknown,0.9230769230769231,relaxed,0.07692307692307693,unknown,0.0,unknown,0.8076923076923077,unknown,0.8076923076923077,short,0.11538461538461539,batwing,0.07692307692307693,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9807692307692307,unknown,0.9807692307692307,mid,0.019230769230769232,unknown,0.0,unknown,0.4230769230769231,unknown,0.4230769230769231,black,0.15384615384615385,blue,0.11538461538461539
Katie,24,top,0.75,top,0.75,unknown,0.16666666666666666,cardigan,0.08333333333333333,unknown,0.4583333333333333,unknown,0.4583333333333333,casual,0.2916666666666667,romantic,0.16666666666666666,plain,0.75,plain,0.75,spot,0.08333333333333333,sequin,0.08333333333333333,unknown,0.75,unknown,0.75,knit,0.125,sequin,0.08333333333333333,unknown,0.8333333333333334,unknown,0.8333333333333334,longline,0.16666666666666666,unknown,0.0,unknown,0.8333333333333334,unknown,0.8333333333333334,long,0.125,bell,0.041666666666666664,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8333333333333334,unknown,0.8333333333333334,long,0.16666666666666666,unknown,0.0,unknown,0.2916666666666667,unknown,0.2916666666666667,navy,0.25,pink,0.125
Lara,3,top,0.6666666666666666,top,0.6666666666666666,cardigan,0.3333333333333333,unknown,0.0,unknown,0.6666666666666666,unknown,0.6666666666666666,layering,0.3333333333333333,unknown,0.0,plain,0.6666666666666666,plain,0.6666666666666666,stripe,0.3333333333333333,unknown,0.0,unknown,0.6666666666666666,unknown,0.6666666666666666,knit,0.3333333333333333,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.6666666666666666,unknown,0.6666666666666666,stripe,0.3333333333333333,unknown,0.0
Laura,244,top,0.8975409836065574,top,0.8975409836065574,unknown,0.07377049180327869,kimono,0.012295081967213115,casual,0.3073770491803279,casual,0.3073770491803279,unknown,0.29098360655737704,elegant,0.13524590163934427,plain,0.9344262295081968,plain,0.9344262295081968,stripe,0.040983606557377046,spot,0.02459016393442623,unknown,0.8934426229508197,unknown,0.8934426229508197,stretch,0.06557377049180328,jersey,0.036885245901639344,unknown,0.7786885245901639,unknown,0.7786885245901639,fitted,0.06557377049180328,swing,0.05737704918032787,unknown,0.8647540983606558,unknown,0.8647540983606558,long,0.06147540983606557,short,0.04918032786885246,unknown,0.9016393442622951,unknown,0.9016393442622951,v_neck,0.06147540983606557,scoop,0.01639344262295082,unknown,0.9098360655737705,unknown,0.9098360655737705,long,0.06967213114754098,short,0.01639344262295082,unknown,0.3401639344262295,unknown,0.3401639344262295,black,0.1598360655737705,white,0.15163934426229508
Lauren,30,top,0.5,top,0.5,unknown,0.2,jacket,0.13333333333333333,unknown,0.4666666666666667,unknown,0.4666666666666667,casual,0.26666666666666666,romantic,0.1,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,0.7666666666666667,unknown,0.7666666666666667,knit,0.13333333333333333,cosy,0.06666666666666667,unknown,0.9333333333333333,unknown,0.9333333333333333,relaxed,0.06666666666666667,unknown,0.0,unknown,0.9333333333333333,unknown,0.9333333333333333,short,0.06666666666666667,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.23333333333333334,unknown,0.23333333333333334,black,0.23333333333333334,white,0.13333333333333333
Lisa,8,top,0.5,top,0.5,unknown,0.375,cardigan,0.125,unknown,0.875,unknown,0.875,layering,0.125,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,0.625,unknown,0.625,knit,0.375,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.375,unknown,0.375,black,0.25,navy,0.125
Ljubenka,109,top,0.8899082568807339,top,0.8899082568807339,unknown,0.09174311926605505,kimono,0.009174311926605505,casual,0.3302752293577982,casual,0.3302752293577982,unknown,0.21100917431192662,romantic,0.1559633027522936,plain,0.963302752293578,plain,0.963302752293578,stripe,0.027522935779816515,spot,0.009174311926605505,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8623853211009175,unknown,0.8623853211009175,swing,0.12844036697247707,longline,0.009174311926605505,unknown,0.908256880733945,unknown,0.908256880733945,short,0.07339449541284404,flute,0.009174311926605505,unknown,0.908256880733945,unknown,0.908256880733945,v_neck,0.09174311926605505,unknown,0.0,unknown,0.981651376146789,unknown,0.981651376146789,mid,0.009174311926605505,long,0.009174311926605505,unknown,0.3761467889908257,unknown,0.3761467889908257,black,0.13761467889908258,white,0.13761467889908258
Louise,5,top,1.0,top,1.0,unknown,0.0,unknown,0.0,unknown,0.6,unknown,0.6,casual,0.4,unknown,0.0,plain,0.8,plain,0.8,spot,0.2,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,black,0.4,black,0.4,unknown,0.2,navy,0.2
Lucy,4,top,1.0,top,1.0,unknown,0.0,unknown,0.0,relaxed,1.0,relaxed,1.0,unknown,0.0,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,relaxed,1.0,relaxed,1.0,unknown,0.0,unknown,0.0,batwing,1.0,batwing,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.25,unknown,0.25,blue,0.25,stone,0.25
Maddy,77,top,0.987012987012987,top,0.987012987012987,unknown,0.012987012987012988,unknown,0.0,casual,0.37662337662337664,casual,0.37662337662337664,elegant,0.3116883116883117,unknown,0.18181818181818182,plain,0.948051948051948,plain,0.948051948051948,stripe,0.03896103896103896,spot,0.012987012987012988,unknown,0.8831168831168831,unknown,0.8831168831168831,jersey,0.1038961038961039,knit,0.012987012987012988,unknown,0.7792207792207793,unknown,0.7792207792207793,relaxed,0.11688311688311688,longline,0.1038961038961039,unknown,0.7012987012987013,unknown,0.7012987012987013,long,0.16883116883116883,short,0.07792207792207792,unknown,0.8961038961038961,unknown,0.8961038961038961,scoop,0.05194805194805195,v_neck,0.03896103896103896,unknown,0.7532467532467533,unknown,0.7532467532467533,long,0.16883116883116883,short,0.05194805194805195,unknown,0.2987012987012987,unknown,0.2987012987012987,white,0.2077922077922078,black,0.16883116883116883
Madeline,37,top,0.7837837837837838,top,0.7837837837837838,unknown,0.10810810810810811,cardigan,0.08108108108108109,unknown,0.4594594594594595,unknown,0.4594594594594595,casual,0.24324324324324326,layering,0.13513513513513514,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,0.7837837837837838,unknown,0.7837837837837838,knit,0.10810810810810811,jersey,0.05405405405405406,unknown,0.918918918918919,unknown,0.918918918918919,relaxed,0.02702702702702703,longline,0.02702702702702703,unknown,0.972972972972973,unknown,0.972972972972973,long,0.02702702702702703,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9459459459459459,unknown,0.9459459459459459,long,0.02702702702702703,short,0.02702702702702703,unknown,0.2702702702702703,unknown,0.2702702702702703,natural,0.1891891891891892,white,0.16216216216216217
Mae-Lee,159,top,0.9371069182389937,top,0.9371069182389937,unknown,0.06289308176100629,unknown,0.0,casual,0.29559748427672955,casual,0.29559748427672955,relaxed,0.23270440251572327,unknown,0.22012578616352202,plain,0.9433962264150944,plain,0.9433962264150944,stripe,0.050314465408805034,spot,0.006289308176100629,unknown,0.9685534591194969,unknown,0.9685534591194969,jersey,0.031446540880503145,unknown,0.0,unknown,0.7169811320754716,unknown,0.7169811320754716,swing,0.16981132075471697,relaxed,0.06289308176100629,unknown,0.7484276729559748,unknown,0.7484276729559748,long,0.16352201257861634,short,0.06289308176100629,unknown,0.8616352201257862,unknown,0.8616352201257862,v_neck,0.09433962264150944,scoop,0.025157232704402517,unknown,0.8050314465408805,unknown,0.8050314465408805,long,0.16981132075471697,short,0.025157232704402517,unknown,0.36477987421383645,unknown,0.36477987421383645,white,0.14465408805031446,black,0.11320754716981132
Mandy,9,top,0.4444444444444444,top,0.4444444444444444,unknown,0.4444444444444444,kimono,0.1111111111111111,unknown,0.7777777777777778,unknown,0.7777777777777778,casual,0.1111111111111111,layering,0.1111111111111111,plain,0.8888888888888888,plain,0.8888888888888888,spot,0.1111111111111111,unknown,0.0,unknown,0.8888888888888888,unknown,0.8888888888888888,knit,0.1111111111111111,unknown,0.0,unknown,0.8888888888888888,unknown,0.8888888888888888,longline,0.1111111111111111,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8888888888888888,unknown,0.8888888888888888,long,0.1111111111111111,unknown,0.0,unknown,0.5555555555555556,unknown,0.5555555555555556,navy,0.2222222222222222,white,0.1111111111111111
