product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,valid_dimension_count,fully_missing_measurements,partially_missing_measurements
belle-handkerchief-printed-cami#RustFlwrs,131.0,137.0,161.0,73.0,,4,False,True
belle-lace-trim-tee#GreyMarle,133.0,143.0,179.0,79.0,40.0,5,False,False
belle-longline-white-shirt#White,131.0,123.0,137.0,106.0,78.0,5,False,False
belle-ls-free-fall-tee#Airforce,132.0,128.0,164.0,71.0,75.0,5,False,False
belle-ls-free-fall-tee#Blush,132.0,128.0,164.0,71.0,75.0,5,False,False
belle-ls-free-fall-tee#Greenland,132.0,128.0,164.0,71.0,75.0,5,False,False
belle-mesh-cardi#Black,147.0,161.0,,86.0,66.0,4,False,True
belle-mid-length-knit-cardi#Black,134.0,133.0,147.0,93.0,78.0,5,False,False
belle-nautical-applique-tee#BlueStripe,131.0,125.0,141.0,71.0,68.0,5,False,False
belle-off-the-shoulder-tee#Stripe,121.0,117.0,129.0,67.0,64.0,5,False,False
belle-paint-brush-print-top#PaintPrint,160.0,146.0,154.0,69.0,,4,False,True
belle-petal-print-top#Petal,126.0,120.0,120.0,65.0,55.0,5,False,False
belle-polka-dot-blouse#WhiteSpot,141.0,147.0,155.0,71.0,53.0,5,False,False
belle-poncho-sleeved-knit#BlueMarle,140.0,136.0,177.0,77.0,58.0,5,False,False
belle-satin-shirt#Black,135.0,134.0,143.0,83.0,77.0,5,False,False
belle-square-neck-drape-tee#Vanilla,127.0,123.0,116.0,66.0,,4,False,True
belle-tie-front-shirt#Black,160.0,151.0,150.0,86.0,41.0,5,False,False
belle-tie-neck-blouse-tee#RoyalBlue,118.0,110.0,152.0,63.0,50.0,5,False,False
belle-tie-neck-blouse-tee#White,118.0,110.0,152.0,63.0,50.0,5,False,False
belle-tier-tee#Blue,131.0,141.0,155.0,68.0,35.0,5,False,False
belle-twist-front-tee-1#Black,115.0,102.0,145.0,68.0,42.0,5,False,False
belle-two-in-one-top#Charcoal,108.0,116.0,128.0,82.0,72.0,5,False,False
belle-v-neck-forgiver-tunic#ArmyGreen,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#Black,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#BlueMarle,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#Charcoal,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#DenimMarl,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#Navy,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#Scarlett,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#Tobacco,125.0,121.0,132.0,83.0,74.0,5,False,False
belle-v-neck-forgiver-tunic#White,125.0,121.0,132.0,83.0,74.0,5,False,False
beloved-stripe-pull-over-hoodie#NavyWhite,136.0,122.0,120.0,63.0,72.0,5,False,False
bertie-top#Black,106.0,112.0,94.0,55.0,54.0,5,False,False
bertie-top#BlkCherry,106.0,112.0,94.0,55.0,54.0,5,False,False
billow-top#Black,146.0,170.0,146.0,72.0,51.0,5,False,False
billow-top#Peach,146.0,170.0,146.0,72.0,51.0,5,False,False
bird-jumper#Navy,104.0,110.0,124.0,66.0,67.0,5,False,False
bird-print-jumper#Navy,106.0,112.0,120.0,60.0,75.0,5,False,False
birds-tee-1#Navy,102.0,98.0,116.0,63.0,64.0,5,False,False
block-sweater#Block,113.0,108.0,104.0,69.0,64.0,5,False,False
block-vest#Blockvest,106.0,108.0,92.0,49.0,,4,False,True
blue-waters-cotton-blouse#White,129.0,123.0,131.0,74.0,64.0,5,False,False
bo-cosy-cardigan#Blossom,112.0,114.0,116.0,82.0,75.0,5,False,False
bo-cosy-cardigan#Storm,112.0,114.0,116.0,82.0,75.0,5,False,False
bodega-knit#Moss,152.0,152.0,152.0,67.0,74.0,5,False,False
boho-embroidered-top#BohoDenim,100.0,96.0,144.0,66.0,62.0,5,False,False
bora-bora-layered-tank#BoraBora,96.0,132.0,172.0,59.0,,4,False,True
border-stripe-knit#WhitePink,110.0,110.0,112.0,72.0,68.0,5,False,False
born-to-run-shirt-jacket#Leopard,102.0,92.0,114.0,76.0,60.0,5,False,False
bubbles-print-tee#Cambridge,102.0,100.0,106.0,65.0,72.0,5,False,False
butterfly-blouse-1#Ivory,102.0,110.0,116.0,132.0,70.0,5,False,False
butterfly-kisses-tee#Green,133.0,,,74.0,32.0,3,False,True
butterfly-kisses-tee#MustardStr,133.0,,,74.0,32.0,3,False,True
butterfly-kisses-tee#Stripe,133.0,,,74.0,32.0,3,False,True
button-through-animal-shirt#Animal,104.0,104.0,110.0,65.0,70.0,5,False,False
buttoned-top#Spotty,126.0,,146.0,65.0,25.0,4,False,True
cable-knit-sweater#Camel,96.0,96.0,100.0,63.0,65.0,5,False,False
capri-tank-3#Black,100.0,102.0,114.0,62.0,,4,False,True
capri-tank-3#NavyStripe,100.0,102.0,114.0,62.0,,4,False,True
capri-tank-3#Navy,100.0,102.0,114.0,62.0,,4,False,True
capri-tank-3#White,100.0,102.0,114.0,62.0,,4,False,True
capri-tank-6#ClaySpot,102.0,106.0,118.0,65.0,,4,False,True
capri-tank-6#HeatheGrey,102.0,106.0,118.0,65.0,,4,False,True
capri-tank-6#Olive,102.0,106.0,118.0,65.0,,4,False,True
cara-tee-2#BlackSpot,102.0,,108.0,69.0,30.0,4,False,True
cara-tee-2#Blush,102.0,,108.0,69.0,30.0,4,False,True
cara-tee-2#WhiteBlk,102.0,,108.0,69.0,30.0,4,False,True
cara-tee-3#Mustard,100.0,98.0,106.0,67.0,28.0,5,False,False
cara-tee-3#ZebraPrint,100.0,98.0,106.0,67.0,28.0,5,False,False
cara-tee-4#BlackWhite,100.0,98.0,106.0,68.0,28.0,5,False,False
cara-tee-4#Black,100.0,98.0,106.0,68.0,28.0,5,False,False
cara-tee-4#White,100.0,98.0,106.0,68.0,28.0,5,False,False
cascade-hood-top#Black,112.0,120.0,135.0,64.0,45.0,5,False,False
celestial-woven-top#White,110.0,114.0,132.0,68.0,29.0,5,False,False
chasing-birds-blouse#White,132.0,,,73.0,72.0,3,False,True
cherrington-top#GreyRose,96.0,98.0,106.0,65.0,69.0,5,False,False
chill-out-slouch-top#GreyMarle,161.0,153.0,152.0,75.0,75.0,5,False,False
chill-out-slouch-top#Mustard,161.0,153.0,152.0,75.0,75.0,5,False,False
circles-knit#Plum,110.0,110.0,112.0,68.0,74.0,5,False,False
clara-blouse#DarkFloral,108.0,108.0,120.0,62.0,66.0,5,False,False
clio-knit-jumper#Black,124.0,120.0,,53.0,63.0,4,False,True
clio-knit-jumper#Clay,124.0,120.0,,53.0,63.0,4,False,True
clio-knit-jumper#InkWhite,124.0,120.0,,53.0,63.0,4,False,True
clio-knit-jumper#StoneBlack,124.0,120.0,,53.0,63.0,4,False,True
clovis-shirt#NavyGold,104.0,106.0,120.0,61.0,69.0,5,False,False
coil-print-hi-lo-shirt#White,112.0,134.0,150.0,76.0,73.0,5,False,False
collared-shirt-1#White,108.0,104.0,114.0,66.0,69.0,5,False,False
colourblock-cardi#NavyRed,102.0,100.0,100.0,98.0,70.0,5,False,False
contrast-pocket-tunic#Pinkpocket,142.0,144.0,,68.0,35.0,4,False,True
contrast-stripe-sweater#Pockets,145.0,135.0,136.0,69.0,73.0,5,False,False
coogee-shirt#White,108.0,108.0,120.0,75.0,52.0,5,False,False
cooks-shirt#Stripes,108.0,110.0,112.0,71.0,,4,False,True
cool-breeze-jumper#Dust,124.0,,,64.0,66.0,3,False,True
cotton-candy-side-split-top#IceBlue,144.0,138.0,146.0,72.0,75.0,5,False,False
cotton-cashmere-v-neck-knit#Navy,116.0,112.0,116.0,65.0,71.0,5,False,False
cotton-modal-print-top#PinkNavy,106.0,104.0,108.0,63.0,20.0,5,False,False
cotton-stripe-cardi-with-pockets#White,100.0,120.0,146.0,62.0,66.0,5,False,False
cover-up-slouch-cardi#Alloy,124.0,98.0,90.0,63.0,73.0,5,False,False
cross-my-heart-bamboo-slouch-tee#White,180.0,176.0,128.0,86.0,79.0,5,False,False
cross-my-heart-sweater#Regal,125.0,113.0,,74.0,72.0,4,False,True
cross-over-top-with-pocket#BlackWhite,120.0,130.0,130.0,60.0,61.0,5,False,False
cross-over-top-with-pocket#Emerald,120.0,130.0,130.0,60.0,61.0,5,False,False
cross-over-top-with-pocket#NavyMustrd,120.0,130.0,130.0,60.0,61.0,5,False,False
crosses-jumper#xmyheart,138.0,,140.0,70.0,,3,False,True
crossing-the-plains-sweater-1#Indigo,126.0,121.0,,79.0,66.0,4,False,True
crushed-top#Blue,114.0,124.0,138.0,61.0,56.0,5,False,False
cuddled-longline-cardigan#Sunflower,110.0,100.0,100.0,91.0,68.0,5,False,False
curve-hem-cable-knit-sweater-1#Sapphire,116.0,,116.0,65.0,72.0,4,False,True
cyrus-top#LightRose,102.0,104.0,110.0,64.0,70.0,5,False,False
dahlia-lace-trim-blouse#Dusk,104.0,108.0,106.0,61.0,73.0,5,False,False
daisy-chain-tassel-blouse#DeepBlue,141.0,,176.0,82.0,56.0,4,False,True
daisy-top-1#BrightBlue,110.0,116.0,124.0,68.0,37.0,5,False,False
daylight-cardi#Silver,110.0,104.0,112.0,83.0,77.0,5,False,False
daylight-jumper#Silver,130.0,126.0,120.0,67.0,73.0,5,False,False
delicado-top#White,146.0,148.0,148.0,60.0,65.0,5,False,False
ditzy-floral-ruffle-blouse#DitzyFlora,112.0,110.0,118.0,60.0,68.0,5,False,False
diva-ruffle-jumper#Gold%20Spot,118.0,112.0,108.0,56.0,67.0,5,False,False
dot-to-dot-knit-1#GreyMarle,108.0,110.0,114.0,65.0,70.0,5,False,False
double-layered-top-1#WBlack,96.0,100.0,112.0,71.0,44.0,5,False,False
double-layered-top-1#WSilver,96.0,100.0,112.0,71.0,44.0,5,False,False
drama-top#BlackGrey,120.0,110.0,110.0,67.0,66.0,5,False,False
drapey-stripe-tee#Navy,94.0,98.0,100.0,60.0,70.0,5,False,False
dream-girl-ruffle-jumper#SoftPink,94.0,90.0,82.0,62.0,66.0,5,False,False
driftwood-gathering-blouse#Khaki,123.0,,,92.0,133.0,3,False,True
dusk-top#DuskPrint,98.0,102.0,104.0,65.0,53.0,5,False,False
eco-78-long-cardigan#DarkGreyM,104.0,92.0,100.0,76.0,60.0,5,False,False
eco-78-long-cardigan#LightGreyM,104.0,92.0,100.0,76.0,60.0,5,False,False
elcos-45-aop-top-jrs#BlackFlowe,116.0,108.0,102.0,63.0,54.0,5,False,False
elcos-45-aop-top-jrs#BlackZigZa,116.0,108.0,102.0,63.0,54.0,5,False,False
elcos-top#LightGrey,118.0,110.0,104.0,61.0,53.0,5,False,False
elina-lace-frill-blouse#Black,90.0,90.0,102.0,64.0,70.0,5,False,False
ella-funnel-neck-top#Khaki,119.0,119.0,119.0,60.0,71.0,5,False,False
ember-knit#EmberGlow,116.0,112.0,122.0,66.0,70.0,5,False,False
emerald-knit#Emerald,110.0,106.0,102.0,65.0,70.0,5,False,False
endeavor-long-sleeve-tee#Stripe,108.0,,,,,1,False,True
everyday-linen-tunic#BotanicalB,98.0,94.0,104.0,86.0,51.0,5,False,False
faith-jumper#Eventide,94.0,88.0,78.0,62.0,70.0,5,False,False
falling-flowers-blouse#DustyPink,102.0,108.0,116.0,64.0,67.0,5,False,False
falling-flowers-cardi#GreyMarle,141.0,133.0,135.0,104.0,78.0,5,False,False
falling-for-you-cardi#Black,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Dusty,,,,116.0,64.0,2,False,True
falling-for-you-cardi#GreyMarle,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Khaki,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Mustard,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Navy,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Port,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Rust,,,,116.0,64.0,2,False,True
falling-for-you-cardi#Teal,,,,116.0,64.0,2,False,True
falling-for-you-cardi-1#GreyGarden,,,,116.0,64.0,2,False,True
falling-for-you-cardi-2#WinterRose,,,,116.0,64.0,2,False,True
falling-for-you-top#Blue,131.0,130.0,161.0,70.0,56.0,5,False,False
falling-for-you-tunic#Black,121.0,124.0,139.0,123.0,66.0,5,False,False
falling-for-you-tunic#Rust,121.0,124.0,139.0,123.0,66.0,5,False,False
felicity-cardigan#Dewkist,124.0,118.0,,52.0,68.0,4,False,True
fern-print-top#Navy,116.0,114.0,124.0,70.0,23.0,5,False,False
first-love-kimono-jacket#Stone,135.0,,153.0,,63.0,3,False,True
first-mix-top-1#BlackWhite,102.0,106.0,,60.0,24.0,4,False,True
floating-by-you-blouse#SeaFleur,133.0,139.0,165.0,83.0,74.0,5,False,False
floral-blouse-2#NavyMulti,102.0,116.0,120.0,65.0,64.0,5,False,False
floral-embroidered-jumper#Navy,137.0,141.0,116.0,63.0,64.0,5,False,False
floral-nehru-print-shirt#Pink,136.0,137.0,146.0,73.0,61.0,5,False,False
flow-with-me-slouch-top#Brick,179.0,177.0,180.0,68.0,59.0,5,False,False
fluid-tunic-top#White,106.0,106.0,122.0,68.0,69.0,5,False,False
flying-free-top-3#WhiteBird,122.0,126.0,142.0,69.0,,4,False,True
foil-2-in-1-spot-top#Charcoal,123.0,124.0,147.0,77.0,64.0,5,False,False
foil-print-top-2#Navy,118.0,114.0,106.0,69.0,55.0,5,False,False
foil-spot-jumper#SilverDot,116.0,114.0,110.0,66.0,69.0,5,False,False
foil-spot-tee-1#Navy,100.0,114.0,124.0,70.0,30.0,5,False,False
foil-striped-2-in-1-top#Blue,127.0,,147.0,80.0,55.0,4,False,True
for-the-frill-top#Ivory,130.0,132.0,147.0,66.0,,4,False,True
forget-me-knot-tunic#ForgetMeK,94.0,78.0,108.0,123.0,65.0,5,False,False
freya-fringe-blouse#Navy,100.0,104.0,126.0,67.0,,4,False,True
frill-blouse#Rust,110.0,114.0,120.0,66.0,50.0,5,False,False
frill-me-tie-throw-on#WhiteBlk,121.0,111.0,115.0,72.0,78.0,5,False,False
frill-sleeve-top-1#LeafPrint,108.0,110.0,116.0,63.0,46.0,5,False,False
frost-cardigan#Mauvewoo,120.0,120.0,122.0,89.0,63.0,5,False,False
fundamental-rib-long-sleeve-tee#Black,116.0,108.0,116.0,72.0,70.0,5,False,False
fundamental-rib-long-sleeve-tee#White,116.0,108.0,116.0,72.0,70.0,5,False,False
fundamental-split-hoodie#Navy,128.0,116.0,104.0,64.0,74.0,5,False,False
fundamental-split-hoodie#Pink,128.0,116.0,104.0,64.0,74.0,5,False,False
fundamental-split-hoodie-1#Khaki,140.0,135.0,116.0,60.0,72.0,5,False,False
fundamental-split-hoodie-1#Lilac,140.0,135.0,116.0,60.0,72.0,5,False,False
fundamental-stripe-long-sleeve-tee#WhiteBlack,110.0,106.0,112.0,72.0,70.0,5,False,False
fundamental-sydney-crew#Burgundy,120.0,114.0,116.0,66.0,72.0,5,False,False
fundamental-sydney-crew#GreyMarle,120.0,114.0,116.0,66.0,72.0,5,False,False
fundamental-sydney-crew#Navy,120.0,114.0,116.0,66.0,72.0,5,False,False
fundamental-vee-tee#Black,104.0,104.0,108.0,70.0,26.0,5,False,False
fundamental-vee-tee#GreyMarle,104.0,104.0,108.0,70.0,26.0,5,False,False
fundamental-vee-tee#Navy,104.0,104.0,108.0,70.0,26.0,5,False,False
fundamental-vee-tee#Pink,104.0,104.0,108.0,70.0,26.0,5,False,False
fundamental-vee-tee#White,104.0,104.0,108.0,70.0,26.0,5,False,False
funnel-neck-knit-jumper#BlueMulti,114.0,112.0,112.0,50.0,62.0,5,False,False
geena-xo-ls-pullover-knit#Allure,100.0,95.0,96.0,52.0,53.0,5,False,False
geena-xo-ls-pullover-knit#WhiteCapGr,100.0,95.0,96.0,52.0,53.0,5,False,False
geneva-v-neck-top#Black,120.0,120.0,120.0,66.0,65.0,5,False,False
geneva-v-neck-top#ClaySpot,120.0,120.0,120.0,66.0,65.0,5,False,False
geneva-v-neck-top#HeatheGrey,120.0,120.0,120.0,66.0,65.0,5,False,False
geneva-v-neck-top#Olive,120.0,120.0,120.0,66.0,65.0,5,False,False
germaine-blouse#Pearl,102.0,102.0,104.0,69.0,75.0,5,False,False
glasgow-top#Melange,92.0,82.0,92.0,65.0,70.0,5,False,False
gloria-applique-crew#Charcoal,102.0,100.0,102.0,63.0,74.0,5,False,False
grace-oversized-knit#Black,120.0,140.0,140.0,65.0,30.0,5,False,False
grace-oversized-knit#Clay,120.0,140.0,140.0,65.0,30.0,5,False,False
grace-oversized-knit#InkWhite,120.0,140.0,140.0,65.0,30.0,5,False,False
grace-oversized-knit#StoneBlack,120.0,140.0,140.0,65.0,30.0,5,False,False
great-scot-merino-carcoat#Twilight,110.0,110.0,112.0,74.0,62.0,5,False,False
hacienda-tunic-5#PatchGold,94.0,108.0,138.0,70.0,46.0,5,False,False
hacienda-tunic-pushkar#Cornflower,100.0,120.0,140.0,60.0,51.0,5,False,False
half-sleeve-fluffy-knit#Ivory,144.0,124.0,92.0,62.0,56.0,5,False,False
hannah-tee-1#Black,100.0,100.0,110.0,72.0,32.0,5,False,False
hannah-tee-1#RedWhite,100.0,100.0,110.0,72.0,32.0,5,False,False
hayley-button-down#NavySparro,100.0,96.0,108.0,66.0,73.0,5,False,False
haze-swing-top#OffWhite,110.0,146.0,,62.0,,3,False,True
heart-spliced-top#Navy,112.0,120.0,128.0,68.0,33.0,5,False,False
heartmade-cardi#DustyRose,120.0,120.0,120.0,107.0,60.0,5,False,False
heartmade-sweater#Rust,140.0,,110.0,52.0,69.0,4,False,True
hem-frill-stripe-top#Frilled,142.0,,,66.0,,2,False,True
hem-frill-stripe-top#SoFrilled,142.0,,,66.0,,2,False,True
henson-jumper#Cream,84.0,84.0,84.0,56.0,68.0,5,False,False
high-neck-tie-top#Black,82.0,92.0,96.0,60.0,,4,False,True
high-street-knit#NavyStripe,94.0,96.0,98.0,64.0,60.0,5,False,False
holly-rib-long-sleeve-tee#Black,86.0,86.0,92.0,65.0,66.0,5,False,False
holly-rib-long-sleeve-tee#Khaki,86.0,86.0,92.0,65.0,66.0,5,False,False
holly-rib-long-sleeve-tee#WhiteGrey,86.0,86.0,92.0,65.0,66.0,5,False,False
horizontal-cabel-pullover#EnglishRos,110.0,108.0,114.0,58.0,70.0,5,False,False
hydrangea-kimono#Hydrangea,130.0,,,122.0,69.0,3,False,True
icing-sugar-top#Ivory,102.0,106.0,150.0,70.0,,4,False,True
in-transit-cardi#Navy,128.0,128.0,128.0,86.0,76.0,5,False,False
indi-crosover-front-blouse#MixedStrip,98.0,94.0,,57.0,62.0,4,False,True
ines-top#NavyStrip,102.0,106.0,112.0,55.0,42.0,5,False,False
irena-embroidered-blouse#DustyRose,108.0,110.0,110.0,68.0,75.0,5,False,False
ivy-cosy-pullover#Blossom,144.0,130.0,124.0,67.0,69.0,5,False,False
ivy-cosy-pullover#Storm,144.0,130.0,124.0,67.0,69.0,5,False,False
jade-kimono-kaleidoscope#Blue,142.0,,130.0,81.0,63.0,4,False,True
jade-kimono-sweet-blossoms#Blue,142.0,,130.0,81.0,65.0,4,False,True
janet-frill-shirt#White,110.0,112.0,116.0,72.0,74.0,5,False,False
jasmine-singlet#White,102.0,140.0,140.0,57.0,,4,False,True
je-taime-knit#Navy,134.0,124.0,124.0,62.0,71.0,5,False,False
jersey-split-back-hooded-top#NavyStrip,124.0,140.0,150.0,63.0,57.0,5,False,False
jewel-knit#GreyMarle,120.0,120.0,104.0,61.0,72.0,5,False,False
jordan-top#PearlBlue,106.0,118.0,124.0,58.0,56.0,5,False,False
juno-cardigan#GreyMarle,120.0,106.0,104.0,74.0,72.0,5,False,False
karmen-top#HighRiskRe,98.0,102.0,,57.0,,3,False,True
kimberly-spliced-top#Black,106.0,108.0,110.0,68.0,70.0,5,False,False
kimberly-spliced-top#Zebraprint,106.0,108.0,110.0,68.0,70.0,5,False,False
kimono-and-me-cardi#DustyPink,127.0,127.0,127.0,119.0,77.0,5,False,False
kimono-and-me-cardi#Sand,127.0,127.0,127.0,119.0,77.0,5,False,False
kimono-top-36#BlueMarle,140.0,,92.0,55.0,42.0,4,False,True
knit-hoodie-1#Sage,110.0,100.0,80.0,54.0,70.0,5,False,False
lake-house-top#CoalPrint,90.0,86.0,124.0,63.0,69.0,5,False,False
laurina-stripe-pullover#NightSky,104.0,104.0,108.0,60.0,67.0,5,False,False
lavaux-bell-sleeve#Mustard,180.0,166.0,160.0,65.0,65.0,5,False,False
layer-me-bamboo-rouched-sleeve-tee#Black,109.0,99.0,113.0,64.0,71.0,5,False,False
layer-me-bamboo-rouched-sleeve-tee#Copper,109.0,99.0,113.0,64.0,71.0,5,False,False
layer-me-bamboo-rouched-sleeve-tee#Fern,109.0,99.0,113.0,64.0,71.0,5,False,False
layer-me-bamboo-rouched-sleeve-tee#White,109.0,99.0,113.0,64.0,71.0,5,False,False
layer-me-cotton-candy-top#Cream,116.0,122.0,174.0,65.0,71.0,5,False,False
layer-top-1#Navy,100.0,96.0,,63.0,58.0,4,False,True
layered-sleeve-top#DarkBlue,137.0,118.0,115.0,63.0,45.0,5,False,False
layered-sleeve-top#Moss,137.0,118.0,115.0,63.0,45.0,5,False,False
layered-stripe-top#PinkStripe,114.0,124.0,138.0,61.0,56.0,5,False,False
layered-tee-2#Black,108.0,112.0,122.0,68.0,69.0,5,False,False
layered-tee-2#White,108.0,112.0,122.0,68.0,69.0,5,False,False
layered-top-2#Navy,96.0,100.0,110.0,66.0,,4,False,True
layered-top-2#White,96.0,100.0,110.0,66.0,,4,False,True
layered-tunic-1#Natural,92.0,112.0,134.0,82.0,,4,False,True
layered-tunic-1#PalePink,92.0,112.0,134.0,82.0,,4,False,True
layered-tunic-1#White,92.0,112.0,134.0,82.0,,4,False,True
layla-long-line-kimono#MultiStrip,130.0,134.0,144.0,130.0,50.0,5,False,False
lazy-daze-tee#Khaki,147.0,137.0,141.0,65.0,65.0,5,False,False
leah-knit-cardigan#Black,102.0,100.0,106.0,101.0,73.0,5,False,False
leah-knit-cardigan#WhiteBlk,102.0,100.0,106.0,101.0,73.0,5,False,False
leary-cardigan#Pine,102.0,100.0,100.0,95.0,80.0,5,False,False
lenka-lurex-stripe-blouse#NavyGoldSt,78.0,124.0,128.0,130.0,60.0,5,False,False
leopard-print-kimono#GoldMulti,,,158.0,89.0,57.0,3,False,True
