person_id,positive_product_id,negative_product_id,negative_type
Fiona,walk-in-the-park-cardi#Sand,natural-textured-poncho#Deeprain,hard
Fiona,walk-in-the-park-cardi#Sand,wonderland-blouse#Ink,hard
Fiona,walk-in-the-park-cardi#Sand,elcos-45-aop-top-jrs#BlackZigZa,random
Fiona,paige-top#Black,natural-textured-poncho#Deeprain,hard
Fiona,paige-top#Black,wonderland-blouse#Ink,hard
Fiona,paige-top#Black,the-wrap-jersey-top#Charcoal,random
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,side-buttoned-sweater#Buttoned,hard
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,voyager-stripe-crew#Stripe,hard
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,hacienda-tunic-pushkar#Cornflower,random
Mae-Lee,sugar-snaps-layers-tank#White,side-buttoned-sweater#Buttoned,hard
Mae-Lee,sugar-snaps-layers-tank#White,voyager-stripe-crew#Stripe,hard
Mae-Lee,sugar-snaps-layers-tank#White,tracie-top#Black,random
Jess,buttoned-top#Spotty,cara-tee-2#Blush,hard
Jess,buttoned-top#Spotty,cara-tee-2#WhiteBlk,hard
Jess,buttoned-top#Spotty,the-cotton-blend-stripe-jumper#BlueStripe,random
Ljubenka,softly-swinging-bamboo-tee#Jewel,the-uneven-hem-knit-1#Sage,hard
Ljubenka,softly-swinging-bamboo-tee#Jewel,natural-textured-poncho#Deeprain,hard
Ljubenka,softly-swinging-bamboo-tee#Jewel,monaco-knot-top#ClaySpot,random
Natalia,the-relaxed-batwing-top#Denim%20Blue,voyager-stripe-crew#Stripe,hard
Natalia,the-relaxed-batwing-top#Denim%20Blue,makeover-blouse#LimeGreen,hard
Natalia,the-relaxed-batwing-top#Denim%20Blue,the-boat-neck-top-1#NavyWhite,random
Mercy,belle-v-neck-forgiver-tunic#Scarlett,voyager-stripe-crew#Stripe,hard
Mercy,belle-v-neck-forgiver-tunic#Scarlett,makeover-blouse#LimeGreen,hard
Mercy,belle-v-neck-forgiver-tunic#Scarlett,ava-short-sleeve-linen-tee#Blush,random
Stacey,the-oversize-knit#Ink,makeover-blouse#LimeGreen,hard
Stacey,the-oversize-knit#Ink,cara-tee-2#Blush,hard
Stacey,the-oversize-knit#Ink,butterfly-kisses-tee#Stripe,random
Shadae,monaco-knot-top#Black,voyager-stripe-crew#Stripe,hard
Shadae,monaco-knot-top#Black,makeover-blouse#LimeGreen,hard
Shadae,monaco-knot-top#Black,luxe-shirt#Black,random
Fiona,the-essential-pullover#DustyPeach,natural-textured-poncho#Deeprain,hard
Fiona,the-essential-pullover#DustyPeach,wonderland-blouse#Ink,hard
Fiona,the-essential-pullover#DustyPeach,rise-top#Ink,random
Chelsea,millie-top#Moss,voyager-stripe-crew#Stripe,hard
Chelsea,millie-top#Moss,makeover-blouse#LimeGreen,hard
Chelsea,millie-top#Moss,westward-top#BotanicalD,random
Monique,hannah-tee-1#Black,voyager-stripe-crew#Stripe,hard
Monique,hannah-tee-1#Black,makeover-blouse#LimeGreen,hard
Monique,hannah-tee-1#Black,cara-tee-4#Black,random
Clementine,the-sleeveless-cross-over-blouse#White,voyager-stripe-crew#Stripe,hard
Clementine,the-sleeveless-cross-over-blouse#White,makeover-blouse#LimeGreen,hard
Clementine,the-sleeveless-cross-over-blouse#White,hacienda-tunic-pushkar#Cornflower,random
Palatina,sky-jumper-1#Clouds,cara-tee-2#Blush,hard
Palatina,sky-jumper-1#Clouds,cara-tee-2#WhiteBlk,hard
Palatina,sky-jumper-1#Clouds,daylight-jumper#Silver,random
Mercy,belle-deep-v-mesh-top#Black,voyager-stripe-crew#Stripe,hard
Mercy,belle-deep-v-mesh-top#Black,makeover-blouse#LimeGreen,hard
Mercy,belle-deep-v-mesh-top#Black,the-cross-over-poncho#Grey,random
Emma,belle-v-neck-forgiver-tunic#Charcoal,voyager-stripe-crew#Stripe,hard
Emma,belle-v-neck-forgiver-tunic#Charcoal,makeover-blouse#LimeGreen,hard
Emma,belle-v-neck-forgiver-tunic#Charcoal,holly-rib-long-sleeve-tee#Black,random
Mae-Lee,the-striped-top#BlueStripe,side-buttoned-sweater#Buttoned,hard
Mae-Lee,the-striped-top#BlueStripe,voyager-stripe-crew#Stripe,hard
Mae-Lee,the-striped-top#BlueStripe,mila-knit-cardigan#InkWhite,random
Jess,layered-tee-2#Black,cara-tee-2#Blush,hard
Jess,layered-tee-2#Black,cara-tee-2#WhiteBlk,hard
Jess,layered-tee-2#Black,sugar-snaps-round-neck-layer-tank#DuckEgg,random
Anna,the-everyday-shirt#Cream,voyager-stripe-crew#Stripe,hard
Anna,the-everyday-shirt#Cream,makeover-blouse#LimeGreen,hard
Anna,the-everyday-shirt#Cream,2-in-1-layered-knit-top#Navy,random
Jess,the-cotton-bamboo-tank#DarkNavy,cara-tee-2#Blush,hard
Jess,the-cotton-bamboo-tank#DarkNavy,cara-tee-2#WhiteBlk,hard
Jess,the-cotton-bamboo-tank#DarkNavy,the-relaxed-long-sleeve-tee#Navy,random
Emma,belle-v-neck-forgiver-tunic#DenimMarl,voyager-stripe-crew#Stripe,hard
Emma,belle-v-neck-forgiver-tunic#DenimMarl,makeover-blouse#LimeGreen,hard
Emma,belle-v-neck-forgiver-tunic#DenimMarl,falling-for-you-cardi#Mustard,random
Jess,the-cut-out-shoulder-blouse#White,cara-tee-2#Blush,hard
Jess,the-cut-out-shoulder-blouse#White,cara-tee-2#WhiteBlk,hard
Jess,the-cut-out-shoulder-blouse#White,fundamental-vee-tee#Pink,random
Nadine,amira-sweater#Cream,makeover-blouse#LimeGreen,hard
Nadine,amira-sweater#Cream,pure-merino-fine-rib-v-neck#Charcoal,hard
Nadine,amira-sweater#Cream,clio-knit-jumper#StoneBlack,random
Sophie,the-relaxed-batwing-top#Denim%20Blue,side-buttoned-sweater#Buttoned,hard
Sophie,the-relaxed-batwing-top#Denim%20Blue,the-tie-front-top#Navy,hard
Sophie,the-relaxed-batwing-top#Denim%20Blue,the-oversize-knit#Ink,random
Marnee,butterfly-kisses-tee#MustardStr,natural-textured-poncho#Deeprain,hard
Marnee,butterfly-kisses-tee#MustardStr,voyager-stripe-crew#Stripe,hard
Marnee,butterfly-kisses-tee#MustardStr,belle-handkerchief-printed-cami#RustFlwrs,random
Anna,aigli-top#White,voyager-stripe-crew#Stripe,hard
Anna,aigli-top#White,makeover-blouse#LimeGreen,hard
Anna,aigli-top#White,fundamental-sydney-crew#GreyMarle,random
Laura,sugar-snaps-round-neck-layer-tank#White,cara-tee-2#Blush,hard
Laura,sugar-snaps-round-neck-layer-tank#White,cara-tee-2#WhiteBlk,hard
Laura,sugar-snaps-round-neck-layer-tank#White,snug-as-a-bug-jumper#Smoke,random
Fiona,sugar-snaps-throw-jacket#Black,natural-textured-poncho#Deeprain,hard
Fiona,sugar-snaps-throw-jacket#Black,wonderland-blouse#Ink,hard
Fiona,sugar-snaps-throw-jacket#Black,the-roll-neck-sweater#Natural,random
Ljubenka,falling-for-you-cardi#Navy,the-uneven-hem-knit-1#Sage,hard
Ljubenka,falling-for-you-cardi#Navy,natural-textured-poncho#Deeprain,hard
Ljubenka,falling-for-you-cardi#Navy,the-sleeveless-cross-over-blouse#Black,random
Riina,the-tie-detail-hoody#FrenchBlue,voyager-stripe-crew#Stripe,hard
Riina,the-tie-detail-hoody#FrenchBlue,makeover-blouse#LimeGreen,hard
Riina,the-tie-detail-hoody#FrenchBlue,capri-tank-6#HeatheGrey,random
Olivia,the-sleeveless-cross-over-blouse#Mint,natural-textured-poncho#Deeprain,hard
Olivia,the-sleeveless-cross-over-blouse#Mint,voyager-stripe-crew#Stripe,hard
Olivia,the-sleeveless-cross-over-blouse#Mint,overlay-tunic-3-pce-set#Emerald,random
Fiona,belle-v-neck-forgiver-tunic#Navy,natural-textured-poncho#Deeprain,hard
Fiona,belle-v-neck-forgiver-tunic#Navy,wonderland-blouse#Ink,hard
Fiona,belle-v-neck-forgiver-tunic#Navy,paisley-top-1#Paisley,random
Tia,the-cotton-bamboo-tank#DuckEgg,the-panel-luxe-top#BlkWhite,hard
Tia,the-cotton-bamboo-tank#DuckEgg,the-panel-luxe-top#SilvWhite,hard
Tia,the-cotton-bamboo-tank#DuckEgg,sand-queen-throw-blouse#Fleur,random
Nikki,the-drape-tee-1#White,natural-textured-poncho#Deeprain,hard
Nikki,the-drape-tee-1#White,voyager-stripe-crew#Stripe,hard
Nikki,the-drape-tee-1#White,annabelle-sweater#Midnight,random
Summer,stud-trim-long-sleeve-top#Mint,voyager-stripe-crew#Stripe,hard
Summer,stud-trim-long-sleeve-top#Mint,natural-textured-poncho#Deeprain,hard
Summer,stud-trim-long-sleeve-top#Mint,the-cotton-bamboo-tee#White,random
Nathalie,the-everyday-shirt#Black,voyager-stripe-crew#Stripe,hard
Nathalie,the-everyday-shirt#Black,makeover-blouse#LimeGreen,hard
Nathalie,the-everyday-shirt#Black,the-soft-knit-jumper#PinkStripe,random
Riina,jordan-top#PearlBlue,voyager-stripe-crew#Stripe,hard
Riina,jordan-top#PearlBlue,makeover-blouse#LimeGreen,hard
Riina,jordan-top#PearlBlue,sugar-snaps-throw-jacket#White,random
Anna,layered-tee-2#White,voyager-stripe-crew#Stripe,hard
Anna,layered-tee-2#White,makeover-blouse#LimeGreen,hard
Anna,layered-tee-2#White,geneva-v-neck-top#ClaySpot,random
Laura,the-batwing-tee#FrenchBlue,cara-tee-2#Blush,hard
Laura,the-batwing-tee#FrenchBlue,cara-tee-2#WhiteBlk,hard
Laura,the-batwing-tee#FrenchBlue,layer-me-bamboo-rouched-sleeve-tee#Black,random
Georgia,the-cotton-bamboo-tank#DuckEgg,voyager-stripe-crew#Stripe,hard
Georgia,the-cotton-bamboo-tank#DuckEgg,makeover-blouse#LimeGreen,hard
Georgia,the-cotton-bamboo-tank#DuckEgg,sontana-blouse#Stone,random
Natalie,the-cross-over-blouse#Blue,natural-textured-poncho#Deeprain,hard
Natalie,the-cross-over-blouse#Blue,voyager-stripe-crew#Stripe,hard
Natalie,the-cross-over-blouse#Blue,print-tee-3#Bike,random
Jess,belle-deep-v-mesh-top#Black,cara-tee-2#Blush,hard
Jess,belle-deep-v-mesh-top#Black,cara-tee-2#WhiteBlk,hard
Jess,belle-deep-v-mesh-top#Black,relaxed-cape#Black,random
Fiona,belle-ls-free-fall-tee#Greenland,natural-textured-poncho#Deeprain,hard
Fiona,belle-ls-free-fall-tee#Greenland,wonderland-blouse#Ink,hard
Fiona,belle-ls-free-fall-tee#Greenland,multi-sequin-dot-stripe-top#Navy,random
Fiona,the-stripe-jersey-top#Blue,natural-textured-poncho#Deeprain,hard
Fiona,the-stripe-jersey-top#Blue,wonderland-blouse#Ink,hard
Fiona,the-stripe-jersey-top#Blue,sugar-snaps-layers-tank#White,random
Ljubenka,the-open-sleeve-blouse#Berry,the-uneven-hem-knit-1#Sage,hard
Ljubenka,the-open-sleeve-blouse#Berry,natural-textured-poncho#Deeprain,hard
Ljubenka,the-open-sleeve-blouse#Berry,overlay-top-2#Black,random
Stacey,juno-cardigan#GreyMarle,makeover-blouse#LimeGreen,hard
Stacey,juno-cardigan#GreyMarle,cara-tee-2#Blush,hard
Stacey,juno-cardigan#GreyMarle,this-mortal-coil-drape#StormClam,random
Tia,the-cotton-bamboo-tank#Chambray,the-panel-luxe-top#BlkWhite,hard
Tia,the-cotton-bamboo-tank#Chambray,the-panel-luxe-top#SilvWhite,hard
Tia,the-cotton-bamboo-tank#Chambray,foil-spot-jumper#SilverDot,random
Mercy,belle-ls-free-fall-tee#Greenland,voyager-stripe-crew#Stripe,hard
Mercy,belle-ls-free-fall-tee#Greenland,makeover-blouse#LimeGreen,hard
Mercy,belle-ls-free-fall-tee#Greenland,chill-out-slouch-top#GreyMarle,random
Maddy,the-long-sleeve-scoop-neck-tee#Grey,natural-textured-poncho#Deeprain,hard
Maddy,the-long-sleeve-scoop-neck-tee#Grey,voyager-stripe-crew#Stripe,hard
Maddy,the-long-sleeve-scoop-neck-tee#Grey,mauevewood-crew#YellowWhit,random
Clementine,the-everyday-shirt#Cream,voyager-stripe-crew#Stripe,hard
Clementine,the-everyday-shirt#Cream,makeover-blouse#LimeGreen,hard
Clementine,the-everyday-shirt#Cream,relaxed-v-neck-knit#Silver,random
Sophia,billow-top#Peach,cara-tee-2#Blush,hard
Sophia,billow-top#Peach,cara-tee-2#WhiteBlk,hard
Sophia,billow-top#Peach,jasmine-singlet#White,random
Natalia,the-reverse-sleeve-sweater#Navy,voyager-stripe-crew#Stripe,hard
Natalia,the-reverse-sleeve-sweater#Navy,makeover-blouse#LimeGreen,hard
Natalia,the-reverse-sleeve-sweater#Navy,ember-knit#EmberGlow,random
Jess,sandy-off-the-shoulder-top#Gingham,cara-tee-2#Blush,hard
Jess,sandy-off-the-shoulder-top#Gingham,cara-tee-2#WhiteBlk,hard
Jess,sandy-off-the-shoulder-top#Gingham,flying-free-top-3#WhiteBird,random
Kate,runaway-top#SoftMint,natural-textured-poncho#Deeprain,hard
Kate,runaway-top#SoftMint,animal-button-up-shirt#KhakiPrint,hard
Kate,runaway-top#SoftMint,spliced-lace-panel-tee#White,random
Jess,belle-satin-shirt#Black,cara-tee-2#Blush,hard
Jess,belle-satin-shirt#Black,cara-tee-2#WhiteBlk,hard
Jess,belle-satin-shirt#Black,dot-to-dot-knit-1#GreyMarle,random
Sophie,the-zip-front-blouse#Navy,side-buttoned-sweater#Buttoned,hard
Sophie,the-zip-front-blouse#Navy,the-tie-front-top#Navy,hard
Sophie,the-zip-front-blouse#Navy,soho-v-neck-blouse#SohoPrint,random
Chelsea,falling-for-you-cardi#Mustard,voyager-stripe-crew#Stripe,hard
Chelsea,falling-for-you-cardi#Mustard,makeover-blouse#LimeGreen,hard
Chelsea,falling-for-you-cardi#Mustard,the-sleeveless-cross-over-blouse#White,random
Jess,drama-top#BlackGrey,cara-tee-2#Blush,hard
Jess,drama-top#BlackGrey,cara-tee-2#WhiteBlk,hard
Jess,drama-top#BlackGrey,ivy-cosy-pullover#Blossom,random
Jess,softly-falling-bamboo-tunic#Copper,cara-tee-2#Blush,hard
Jess,softly-falling-bamboo-tunic#Copper,cara-tee-2#WhiteBlk,hard
Jess,softly-falling-bamboo-tunic#Copper,aztec-cardigan#Orange,random
Fiona,long-sleeve-softly-swinging-bamboo-tee#Combat,natural-textured-poncho#Deeprain,hard
Fiona,long-sleeve-softly-swinging-bamboo-tee#Combat,wonderland-blouse#Ink,hard
Fiona,long-sleeve-softly-swinging-bamboo-tee#Combat,great-scot-merino-carcoat#Twilight,random
Shadae,rib-tank-2#Mustard,voyager-stripe-crew#Stripe,hard
Shadae,rib-tank-2#Mustard,makeover-blouse#LimeGreen,hard
Shadae,rib-tank-2#Mustard,woolly-spotted-hoodie#Navy,random
Amanda,the-high-low-drape-tee#Grey,natural-textured-poncho#Deeprain,hard
Amanda,the-high-low-drape-tee#Grey,voyager-stripe-crew#Stripe,hard
Amanda,the-high-low-drape-tee#Grey,the-cotton-bamboo-tank#Chambray,random
Marnee,sugar-snaps-layers-tank#DeepCobalt,natural-textured-poncho#Deeprain,hard
Marnee,sugar-snaps-layers-tank#DeepCobalt,voyager-stripe-crew#Stripe,hard
Marnee,sugar-snaps-layers-tank#DeepCobalt,the-half-sleeve-tee#White,random
Amanda,the-batwing-tee#Black,natural-textured-poncho#Deeprain,hard
Amanda,the-batwing-tee#Black,voyager-stripe-crew#Stripe,hard
Amanda,the-batwing-tee#Black,saba-top-2#Catus,random
Anna Maria,falling-for-you-cardi#Mustard,natural-textured-poncho#Deeprain,hard
Anna Maria,falling-for-you-cardi#Mustard,voyager-stripe-crew#Stripe,hard
Anna Maria,falling-for-you-cardi#Mustard,belle-flocked-tunic#White,random
Jess,sugar-snaps-layers-tank#PeachyKeen,cara-tee-2#Blush,hard
Jess,sugar-snaps-layers-tank#PeachyKeen,cara-tee-2#WhiteBlk,hard
Jess,sugar-snaps-layers-tank#PeachyKeen,the-relaxed-long-sleeve-tee#Navy,random
Laura,the-cross-over-blouse#Red,cara-tee-2#Blush,hard
Laura,the-cross-over-blouse#Red,cara-tee-2#WhiteBlk,hard
Laura,the-cross-over-blouse#Red,fundamental-split-hoodie-1#Lilac,random
Riina,napoleon-top-1#NemoRed,voyager-stripe-crew#Stripe,hard
Riina,napoleon-top-1#NemoRed,makeover-blouse#LimeGreen,hard
Riina,napoleon-top-1#NemoRed,the-uneven-hem-knit-1#Sage,random
Nikki,selma-top-1#IndoStripe,natural-textured-poncho#Deeprain,hard
Nikki,selma-top-1#IndoStripe,voyager-stripe-crew#Stripe,hard
Nikki,selma-top-1#IndoStripe,bora-bora-layered-tank#BoraBora,random
Amanda,the-longline-waterfall-cardi#Black,natural-textured-poncho#Deeprain,hard
Amanda,the-longline-waterfall-cardi#Black,voyager-stripe-crew#Stripe,hard
Amanda,the-longline-waterfall-cardi#Black,layered-tunic-1#PalePink,random
Stacey,chill-out-slouch-top#Mustard,makeover-blouse#LimeGreen,hard
Stacey,chill-out-slouch-top#Mustard,cara-tee-2#Blush,hard
Stacey,chill-out-slouch-top#Mustard,half-sleeve-fluffy-knit#Ivory,random
Laura,the-sleeveless-cross-over-blouse#Black,cara-tee-2#Blush,hard
Laura,the-sleeveless-cross-over-blouse#Black,cara-tee-2#WhiteBlk,hard
Laura,the-sleeveless-cross-over-blouse#Black,milan-34-sleeve-1#Melange,random
Natalia,napoleon-top-1#NemoRed,voyager-stripe-crew#Stripe,hard
Natalia,napoleon-top-1#NemoRed,makeover-blouse#LimeGreen,hard
Natalia,napoleon-top-1#NemoRed,belle-tie-neck-blouse-tee#White,random
Katie,messina-knit#Cognac,voyager-stripe-crew#Stripe,hard
Katie,messina-knit#Cognac,makeover-blouse#LimeGreen,hard
Katie,messina-knit#Cognac,yvette-blouse#Black,random
Chelsea,cara-tee-2#WhiteBlk,voyager-stripe-crew#Stripe,hard
Chelsea,cara-tee-2#WhiteBlk,makeover-blouse#LimeGreen,hard
Chelsea,cara-tee-2#WhiteBlk,butterfly-kisses-tee#MustardStr,random
Lara,curve-hem-cable-knit-sweater-1#Sapphire,natural-textured-poncho#Deeprain,hard
Lara,curve-hem-cable-knit-sweater-1#Sapphire,voyager-stripe-crew#Stripe,hard
Lara,curve-hem-cable-knit-sweater-1#Sapphire,snug-as-a-bug-jumper#Smoke,random
Sophie,falling-for-you-tunic#Rust,side-buttoned-sweater#Buttoned,hard
Sophie,falling-for-you-tunic#Rust,the-tie-front-top#Navy,hard
Sophie,falling-for-you-tunic#Rust,ines-top#NavyStrip,random
Natalie,layer-top-1#Navy,natural-textured-poncho#Deeprain,hard
Natalie,layer-top-1#Navy,voyager-stripe-crew#Stripe,hard
Natalie,layer-top-1#Navy,fundamental-sydney-crew#GreyMarle,random
Emma,raspberry-ls-tee#WhiteRaspb,voyager-stripe-crew#Stripe,hard
Emma,raspberry-ls-tee#WhiteRaspb,makeover-blouse#LimeGreen,hard
Emma,raspberry-ls-tee#WhiteRaspb,layered-tunic-1#PalePink,random
Mae-Lee,falling-for-you-cardi#GreyMarle,side-buttoned-sweater#Buttoned,hard
Mae-Lee,falling-for-you-cardi#GreyMarle,voyager-stripe-crew#Stripe,hard
Mae-Lee,falling-for-you-cardi#GreyMarle,freya-fringe-blouse#Navy,random
Jess,runaway-top#Sand,cara-tee-2#Blush,hard
Jess,runaway-top#Sand,cara-tee-2#WhiteBlk,hard
Jess,runaway-top#Sand,the-define-flute-sleeve-blouse#White,random
Fiona,the-twist-front-top#Navy,natural-textured-poncho#Deeprain,hard
Fiona,the-twist-front-top#Navy,wonderland-blouse#Ink,hard
Fiona,the-twist-front-top#Navy,back-to-you-top#BlackMagic,random
Jess,sontana-blouse#Stone,cara-tee-2#Blush,hard
Jess,sontana-blouse#Stone,cara-tee-2#WhiteBlk,hard
Jess,sontana-blouse#Stone,clio-knit-jumper#InkWhite,random
Mae-Lee,the-long-sleeve-scoop-neck-tee#Black,side-buttoned-sweater#Buttoned,hard
Mae-Lee,the-long-sleeve-scoop-neck-tee#Black,voyager-stripe-crew#Stripe,hard
Mae-Lee,the-long-sleeve-scoop-neck-tee#Black,natural-cropped-sleeve-knit#Cloudcover,random
Amanda,the-stripe-tank-1#Hazelnut,natural-textured-poncho#Deeprain,hard
Amanda,the-stripe-tank-1#Hazelnut,voyager-stripe-crew#Stripe,hard
Amanda,the-stripe-tank-1#Hazelnut,the-cross-over-blouse#Silver,random
Laura,manhattan-stretch-tee#Navy,cara-tee-2#Blush,hard
Laura,manhattan-stretch-tee#Navy,cara-tee-2#WhiteBlk,hard
Laura,manhattan-stretch-tee#Navy,geneva-v-neck-top#Olive,random
Chelsea,oversize-contrast-hood-top#Steel,voyager-stripe-crew#Stripe,hard
Chelsea,oversize-contrast-hood-top#Steel,makeover-blouse#LimeGreen,hard
Chelsea,oversize-contrast-hood-top#Steel,the-tie-front-tank#White,random
Georgia,falling-for-you-cardi#Rust,voyager-stripe-crew#Stripe,hard
Georgia,falling-for-you-cardi#Rust,makeover-blouse#LimeGreen,hard
Georgia,falling-for-you-cardi#Rust,billow-top#Peach,random
Emma,hem-frill-stripe-top#SoFrilled,voyager-stripe-crew#Stripe,hard
Emma,hem-frill-stripe-top#SoFrilled,makeover-blouse#LimeGreen,hard
Emma,hem-frill-stripe-top#SoFrilled,jersey-split-back-hooded-top#NavyStrip,random
Kate,sugar-snaps-layers-tank#White,natural-textured-poncho#Deeprain,hard
Kate,sugar-snaps-layers-tank#White,animal-button-up-shirt#KhakiPrint,hard
Kate,sugar-snaps-layers-tank#White,the-long-sleeve-scoop-neck-tee#Black,random
Shadae,monaco-knot-top#Olive,voyager-stripe-crew#Stripe,hard
Shadae,monaco-knot-top#Olive,makeover-blouse#LimeGreen,hard
Shadae,monaco-knot-top#Olive,neptune-top-1#PrimBlack,random
Palatina,you-at-my-shoulder-tunic#Black,cara-tee-2#Blush,hard
Palatina,you-at-my-shoulder-tunic#Black,cara-tee-2#WhiteBlk,hard
Palatina,you-at-my-shoulder-tunic#Black,the-stripe-jersey-top#Blue,random
Jess,belle-v-neck-forgiver-tunic#ArmyGreen,cara-tee-2#Blush,hard
Jess,belle-v-neck-forgiver-tunic#ArmyGreen,cara-tee-2#WhiteBlk,hard
Jess,belle-v-neck-forgiver-tunic#ArmyGreen,the-asymmetrical-tank-top#HotPink,random
Ljubenka,softly-swinging-bamboo-tee#Starfish,the-uneven-hem-knit-1#Sage,hard
Ljubenka,softly-swinging-bamboo-tee#Starfish,natural-textured-poncho#Deeprain,hard
Ljubenka,softly-swinging-bamboo-tee#Starfish,grace-oversized-knit#StoneBlack,random
Amanda,the-blouson-sleeve-jumper#Grey,natural-textured-poncho#Deeprain,hard
Amanda,the-blouson-sleeve-jumper#Grey,voyager-stripe-crew#Stripe,hard
Amanda,the-blouson-sleeve-jumper#Grey,belle-half-sleeve-boat-tee#White,random
Laura,softly-swinging-bamboo-tee#Blush,cara-tee-2#Blush,hard
Laura,softly-swinging-bamboo-tee#Blush,cara-tee-2#WhiteBlk,hard
Laura,softly-swinging-bamboo-tee#Blush,splice-knit-1#Multi,random
Fiona,belle-v-neck-forgiver-tunic#White,natural-textured-poncho#Deeprain,hard
Fiona,belle-v-neck-forgiver-tunic#White,wonderland-blouse#Ink,hard
Fiona,belle-v-neck-forgiver-tunic#White,the-ultimate-tie-cardi#Black,random
Fiona,hem-frill-stripe-top#Frilled,natural-textured-poncho#Deeprain,hard
Fiona,hem-frill-stripe-top#Frilled,wonderland-blouse#Ink,hard
Fiona,hem-frill-stripe-top#Frilled,the-cross-over-blouse#Sunshine,random
Fiona,natural-pattern-cocoon-cardigan#Blossom,natural-textured-poncho#Deeprain,hard
Fiona,natural-pattern-cocoon-cardigan#Blossom,wonderland-blouse#Ink,hard
Fiona,natural-pattern-cocoon-cardigan#Blossom,multi-stripe-jumper#NavyMulti,random
Emma,sugar-snaps-layers-tank#PeachyKeen,voyager-stripe-crew#Stripe,hard
Emma,sugar-snaps-layers-tank#PeachyKeen,makeover-blouse#LimeGreen,hard
Emma,sugar-snaps-layers-tank#PeachyKeen,sugar-snaps-throw-jacket#Duckegg,random
Jess,reversible-scoopv-neck-tank#White,cara-tee-2#Blush,hard
Jess,reversible-scoopv-neck-tank#White,cara-tee-2#WhiteBlk,hard
Jess,reversible-scoopv-neck-tank#White,fundamental-vee-tee#Pink,random
Katie,crushed-top#Blue,voyager-stripe-crew#Stripe,hard
Katie,crushed-top#Blue,makeover-blouse#LimeGreen,hard
Katie,crushed-top#Blue,karmen-top#HighRiskRe,random
Amanda,the-sleeveless-cross-over-blouse#Sunshine,natural-textured-poncho#Deeprain,hard
Amanda,the-sleeveless-cross-over-blouse#Sunshine,voyager-stripe-crew#Stripe,hard
Amanda,the-sleeveless-cross-over-blouse#Sunshine,daylight-cardi#Silver,random
Tia,silver-dot-tie-sleeve-blouse#SilverDotP,the-panel-luxe-top#BlkWhite,hard
Tia,silver-dot-tie-sleeve-blouse#SilverDotP,the-panel-luxe-top#SilvWhite,hard
